Testing SD card write operations: 2022-06-25 14:16:17
2022-06-25 14:16:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4f24f16b9ff0b09e3b86960f0cff722256fb63e7d5245b7509dc2ed85e498bcf', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-06-25 14:16:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'fa80506bd236f5bdee76c8776e8b91d3de19f4b4ff17abe7f1d703ef1fadbca6', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 14:16:42: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '113f6daa7723c39207ed6db5187e24ad54f0a571e88a907faa228063343b6cba', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-25 14:16:43: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'be22961ad8bf0cf920a2d439ce41f578d8a56cd8d3a66ca84464ea3cb7483f14', 'rssi': -38, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 14:16:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4f24f16b9ff0b09e3b86960f0cff722256fb63e7d5245b7509dc2ed85e498bcf', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-06-25 14:16:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'cd394ef3fe08b402ebe1583706af3eba4b49f05aa13f84092d2c58cc0151afb5', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 14:16:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '752d7c9e6c686c4811d37fe8fd1c5a75d32d5914e0f45d9e2d4ce6b847311448', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-06-25 14:16:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4f24f16b9ff0b09e3b86960f0cff722256fb63e7d5245b7509dc2ed85e498bcf', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-06-25 14:16:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '752d7c9e6c686c4811d37fe8fd1c5a75d32d5914e0f45d9e2d4ce6b847311448', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-06-25 14:16:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4f24f16b9ff0b09e3b86960f0cff722256fb63e7d5245b7509dc2ed85e498bcf', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
