Testing SD card write operations: 2022-06-27 12:55:01
2022-06-27 12:55:51: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '9f9739469fbf8b657bc74fe1f2a94744d391b76946bd34499e128a16bf9acf51', 'rssi': -96, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:55:52: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e7fd009c06922d5672a2f6cb789b43642fc9f6dfba563eb0963d5e9a7a28e25a', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:55:53: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '9f9739469fbf8b657bc74fe1f2a94744d391b76946bd34499e128a16bf9acf51', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:55:54: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '9f9739469fbf8b657bc74fe1f2a94744d391b76946bd34499e128a16bf9acf51', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:55:54: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '9f9739469fbf8b657bc74fe1f2a94744d391b76946bd34499e128a16bf9acf51', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:55:55: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '9f9739469fbf8b657bc74fe1f2a94744d391b76946bd34499e128a16bf9acf51', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:55:56: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '9f9739469fbf8b657bc74fe1f2a94744d391b76946bd34499e128a16bf9acf51', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:55:57: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '9f9739469fbf8b657bc74fe1f2a94744d391b76946bd34499e128a16bf9acf51', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:55:57: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '9f9739469fbf8b657bc74fe1f2a94744d391b76946bd34499e128a16bf9acf51', 'rssi': -97, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:55:58: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '83c36c623a35654e6df00ba91a1c323de1b0a4d6867e3652b1873c81073ae647', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
