Testing SD card write operations: 2022-06-27 12:55:01
2022-06-27 12:57:51: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-51}
2022-06-27 12:57:52: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-31}
2022-06-27 12:57:52: {'ssid':'P410', 'bssid':'56056379fe9710e39e6aee60f58e83b9c229230e87919e1b88e7be9db82e03f3', 'sec':0, 'channel':1, 'rssi':-80}
2022-06-27 12:57:54: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-33}
2022-06-27 12:57:56: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-35}
2022-06-27 12:57:56: {'ssid':'P411', 'bssid':'cacf03cc239e088c85ff890bb47a74dd64a22c323cf4b7e86a55a72e062f3b6c', 'sec':2, 'channel':6, 'rssi':-92}
2022-06-27 12:57:56: {'ssid':'P412', 'bssid':'a0f9ac6cd5c9c8e90b0048e3f319e2a18a9ece8e1ca0630d98118df756439d96', 'sec':4, 'channel':3, 'rssi':-94}
2022-06-27 12:57:58: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-45}
2022-06-27 12:57:58: {'ssid':'P410', 'bssid':'56056379fe9710e39e6aee60f58e83b9c229230e87919e1b88e7be9db82e03f3', 'sec':0, 'channel':1, 'rssi':-83}
2022-06-27 12:58:00: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-54}
2022-06-27 12:58:00: {'ssid':'P410', 'bssid':'56056379fe9710e39e6aee60f58e83b9c229230e87919e1b88e7be9db82e03f3', 'sec':0, 'channel':1, 'rssi':-85}
2022-06-27 12:58:00: {'ssid':'P413', 'bssid':'5db26a93e902c356eade4faf128e5e1b5c4c4d72233172ddf8a64d353f22fa9d', 'sec':4, 'channel':6, 'rssi':-89}
2022-06-27 12:58:00: {'ssid':'P414', 'bssid':'e83716f4906b3c30f304d2ae073517bcc96a4a3104805e6c2a043d5e49ea2e22', 'sec':5, 'channel':6, 'rssi':-91}
2022-06-27 12:58:00: {'ssid':'P415', 'bssid':'6f9cabe77be3c36ecf7c2ab3d6fa12014209335d9726cc711936e49fc6b44f68', 'sec':0, 'channel':6, 'rssi':-91}
2022-06-27 12:58:00: {'ssid':'P416', 'bssid':'522d1a68d964b697f5cedd3cd73f7c0b435a9ed78c90a12953dfe89533bca808', 'sec':4, 'channel':6, 'rssi':-92}
2022-06-27 12:58:02: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-50}
2022-06-27 12:58:04: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-33}
2022-06-27 12:58:04: {'ssid':'P417', 'bssid':'52b6cd610724b49eb217fb6552015f65894cece5fcae244288844f77403831ae', 'sec':4, 'channel':1, 'rssi':-90}
2022-06-27 12:58:06: {'ssid':'P40', 'bssid':'f9f58a1c526ab77499a692d5c60a6429627c74e65b96b6787b3cf299c945acfc', 'sec':3, 'channel':6, 'rssi':-44}
2022-06-27 12:58:06: {'ssid':'P411', 'bssid':'ea9bf802c5c55e9218e9d295109f28fdd13b60ff8f1a0c92f001fb87b9a8a863', 'sec':2, 'channel':6, 'rssi':-92}
