Testing SD card write operations: 2022-09-20 17:01:40
2022-09-20 17:02:15: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '8c40dc5642fa4ef16cbdb7a3a0922a50e79b58402c36ddcee6272951', 'rssi': -50, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-20 17:02:16: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '9fdec4f37eacff6dbcf2ce764908db77526c9c50423a6e40064c50f3', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:02:17: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5e40e20446eb4b84342a87e52cc3dd2801844058f5ebe27b9c560778', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:02:18: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5e40e20446eb4b84342a87e52cc3dd2801844058f5ebe27b9c560778', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:02:18: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6001ba457f66fc04c554ac0a83d05858e16a0993e708aa1129b1dbf8', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:02:19: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5e40e20446eb4b84342a87e52cc3dd2801844058f5ebe27b9c560778', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:02:20: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '9fdec4f37eacff6dbcf2ce764908db77526c9c50423a6e40064c50f3', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:02:21: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5e40e20446eb4b84342a87e52cc3dd2801844058f5ebe27b9c560778', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:02:22: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5e40e20446eb4b84342a87e52cc3dd2801844058f5ebe27b9c560778', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:02:22: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6001ba457f66fc04c554ac0a83d05858e16a0993e708aa1129b1dbf8', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:02:23: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6001ba457f66fc04c554ac0a83d05858e16a0993e708aa1129b1dbf8', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:02:24: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0322a3f2f16c64abefad73d98812d7094d99c6f1f289b28f05347c73', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-09-20 17:02:25: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6001ba457f66fc04c554ac0a83d05858e16a0993e708aa1129b1dbf8', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:02:25: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6d3132f33787498a3212d98479073a00c640fd6bf774a1cecf63b1c5', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:02:26: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '8d32eb54aa4707be8d03630045d9800dac8f2a0250e6d7d41c7b7e0f', 'rssi': -76, 'name': 'Ob80', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:02:27: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5e40e20446eb4b84342a87e52cc3dd2801844058f5ebe27b9c560778', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:02:28: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5e40e20446eb4b84342a87e52cc3dd2801844058f5ebe27b9c560778', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:02:29: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '87ab300a1cebf59e7b5a861b596db67f4f15cb548d463883dbdc658f', 'rssi': -47, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:02:29: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5e40e20446eb4b84342a87e52cc3dd2801844058f5ebe27b9c560778', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:02:30: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5e40e20446eb4b84342a87e52cc3dd2801844058f5ebe27b9c560778', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:02:31: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0322a3f2f16c64abefad73d98812d7094d99c6f1f289b28f05347c73', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-09-20 17:02:32: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5e40e20446eb4b84342a87e52cc3dd2801844058f5ebe27b9c560778', 'rssi': -66, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:02:33: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5e40e20446eb4b84342a87e52cc3dd2801844058f5ebe27b9c560778', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:02:33: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5e40e20446eb4b84342a87e52cc3dd2801844058f5ebe27b9c560778', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:02:34: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6001ba457f66fc04c554ac0a83d05858e16a0993e708aa1129b1dbf8', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:02:35: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5e40e20446eb4b84342a87e52cc3dd2801844058f5ebe27b9c560778', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:02:36: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6001ba457f66fc04c554ac0a83d05858e16a0993e708aa1129b1dbf8', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:02:36: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6001ba457f66fc04c554ac0a83d05858e16a0993e708aa1129b1dbf8', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:02:37: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6001ba457f66fc04c554ac0a83d05858e16a0993e708aa1129b1dbf8', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 17:02:38: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5e40e20446eb4b84342a87e52cc3dd2801844058f5ebe27b9c560778', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
