Testing SD card write operations: 2022-07-07 19:08:09
2022-07-07 19:08:34: {'ssid':'H61', 'bssid':'9ad4dc3ba48d36aee6f7db4c661b2812be4217803e2eb5d1125de8093747be9c', 'sec':3, 'channel':6, 'rssi':-60}
2022-07-07 19:08:34: {'ssid':'H62', 'bssid':'4852055cb61f42cd4fd3c2fbbc076a5fbd60fc1cd5d43e6452a553da485ddb0a', 'sec':4, 'channel':6, 'rssi':-65}
2022-07-07 19:08:34: {'ssid':'H63', 'bssid':'c0837695288a49b919f78fa1648e6b0ff8bdde32bab4c5058a8c8d2def75a8a2', 'sec':4, 'channel':1, 'rssi':-72}
2022-07-07 19:08:34: {'ssid':'H67', 'bssid':'2608d6b838c377ab9737d6b43ce9e2da771417146ee17b22aa40ce488e641275', 'sec':4, 'channel':1, 'rssi':-72}
2022-07-07 19:08:34: {'ssid':'H65', 'bssid':'3fa0a68098a1db3c2bbcb3e49625ca0d24526c5112795eb836161687770e5a50', 'sec':4, 'channel':1, 'rssi':-72}
2022-07-07 19:08:34: {'ssid':'H610', 'bssid':'dca2767331ea09388562a04bf8f9592086f568f5be4fb5010d1d365543764d3e', 'sec':4, 'channel':1, 'rssi':-80}
2022-07-07 19:08:34: {'ssid':'H616', 'bssid':'7c7a2605231dcba726f8b1c4fc4dd3553d33cb3a375398f44c73466f9c14f5fb', 'sec':4, 'channel':6, 'rssi':-81}
2022-07-07 19:08:36: {'ssid':'H61', 'bssid':'9ad4dc3ba48d36aee6f7db4c661b2812be4217803e2eb5d1125de8093747be9c', 'sec':3, 'channel':6, 'rssi':-55}
2022-07-07 19:08:36: {'ssid':'H62', 'bssid':'4852055cb61f42cd4fd3c2fbbc076a5fbd60fc1cd5d43e6452a553da485ddb0a', 'sec':4, 'channel':6, 'rssi':-65}
2022-07-07 19:08:36: {'ssid':'H65', 'bssid':'3fa0a68098a1db3c2bbcb3e49625ca0d24526c5112795eb836161687770e5a50', 'sec':4, 'channel':1, 'rssi':-74}
2022-07-07 19:08:36: {'ssid':'H615', 'bssid':'9de4c8662044d61d0cc2d96596680e6a16c24313401036947d1f457024475669', 'sec':4, 'channel':4, 'rssi':-76}
2022-07-07 19:08:36: {'ssid':'H610', 'bssid':'dca2767331ea09388562a04bf8f9592086f568f5be4fb5010d1d365543764d3e', 'sec':4, 'channel':1, 'rssi':-81}
2022-07-07 19:08:36: {'ssid':'H617', 'bssid':'5ab2fb40bf120642afd69f10e389a40f2cdecac72c9f192bc4aee42763e8fc6c', 'sec':4, 'channel':1, 'rssi':-93}
2022-07-07 19:08:38: {'ssid':'H60', 'bssid':'ff6e8d5441be071b66ce8e29fbce6ecd242bc0832258589eba5970176fac5129', 'sec':4, 'channel':1, 'rssi':-49}
2022-07-07 19:08:38: {'ssid':'H61', 'bssid':'9ad4dc3ba48d36aee6f7db4c661b2812be4217803e2eb5d1125de8093747be9c', 'sec':3, 'channel':6, 'rssi':-56}
2022-07-07 19:08:38: {'ssid':'H62', 'bssid':'4852055cb61f42cd4fd3c2fbbc076a5fbd60fc1cd5d43e6452a553da485ddb0a', 'sec':4, 'channel':6, 'rssi':-63}
2022-07-07 19:08:38: {'ssid':'H65', 'bssid':'3fa0a68098a1db3c2bbcb3e49625ca0d24526c5112795eb836161687770e5a50', 'sec':4, 'channel':1, 'rssi':-73}
