Testing SD card write operations: 2022-07-07 19:08:09
2022-07-07 19:08:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9a3200eed965dc917a7d4fb4e422013bbd3332892a2c28302a64260c', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 19:08:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9a3200eed965dc917a7d4fb4e422013bbd3332892a2c28302a64260c', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 19:08:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9a3200eed965dc917a7d4fb4e422013bbd3332892a2c28302a64260c', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 19:08:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9a3200eed965dc917a7d4fb4e422013bbd3332892a2c28302a64260c', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 19:08:48: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'b502e7e074ec94e0c43f786aa3d02a1778f5df911f3692fbaa9b4daa', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 19:08:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9a3200eed965dc917a7d4fb4e422013bbd3332892a2c28302a64260c', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 19:08:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9a3200eed965dc917a7d4fb4e422013bbd3332892a2c28302a64260c', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 19:08:50: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9a3200eed965dc917a7d4fb4e422013bbd3332892a2c28302a64260c', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 19:08:51: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9a3200eed965dc917a7d4fb4e422013bbd3332892a2c28302a64260c', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 19:08:52: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9a3200eed965dc917a7d4fb4e422013bbd3332892a2c28302a64260c', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 19:08:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9a3200eed965dc917a7d4fb4e422013bbd3332892a2c28302a64260c', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 19:08:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9a3200eed965dc917a7d4fb4e422013bbd3332892a2c28302a64260c', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 19:08:54: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9a3200eed965dc917a7d4fb4e422013bbd3332892a2c28302a64260c', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 19:08:55: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9a3200eed965dc917a7d4fb4e422013bbd3332892a2c28302a64260c', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 19:08:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9a3200eed965dc917a7d4fb4e422013bbd3332892a2c28302a64260c', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 19:08:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9a3200eed965dc917a7d4fb4e422013bbd3332892a2c28302a64260c', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 19:08:57: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'b502e7e074ec94e0c43f786aa3d02a1778f5df911f3692fbaa9b4daa', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 19:08:58: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'b502e7e074ec94e0c43f786aa3d02a1778f5df911f3692fbaa9b4daa', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 19:08:59: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'b502e7e074ec94e0c43f786aa3d02a1778f5df911f3692fbaa9b4daa', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 19:09:00: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'b502e7e074ec94e0c43f786aa3d02a1778f5df911f3692fbaa9b4daa', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 19:09:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9a3200eed965dc917a7d4fb4e422013bbd3332892a2c28302a64260c', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 19:09:01: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'b502e7e074ec94e0c43f786aa3d02a1778f5df911f3692fbaa9b4daa', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 19:09:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9a3200eed965dc917a7d4fb4e422013bbd3332892a2c28302a64260c', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 19:09:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9a3200eed965dc917a7d4fb4e422013bbd3332892a2c28302a64260c', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 19:09:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9a3200eed965dc917a7d4fb4e422013bbd3332892a2c28302a64260c', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 19:09:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9a3200eed965dc917a7d4fb4e422013bbd3332892a2c28302a64260c', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 19:09:05: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'b502e7e074ec94e0c43f786aa3d02a1778f5df911f3692fbaa9b4daa', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 19:09:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9a3200eed965dc917a7d4fb4e422013bbd3332892a2c28302a64260c', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 19:09:07: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9a3200eed965dc917a7d4fb4e422013bbd3332892a2c28302a64260c', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 19:09:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9a3200eed965dc917a7d4fb4e422013bbd3332892a2c28302a64260c', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 19:09:09: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9a3200eed965dc917a7d4fb4e422013bbd3332892a2c28302a64260c', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 19:09:09: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'b502e7e074ec94e0c43f786aa3d02a1778f5df911f3692fbaa9b4daa', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 19:09:10: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9a3200eed965dc917a7d4fb4e422013bbd3332892a2c28302a64260c', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 19:09:11: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9a3200eed965dc917a7d4fb4e422013bbd3332892a2c28302a64260c', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 19:09:12: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'b502e7e074ec94e0c43f786aa3d02a1778f5df911f3692fbaa9b4daa', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 19:09:13: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9a3200eed965dc917a7d4fb4e422013bbd3332892a2c28302a64260c', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 19:09:13: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9a3200eed965dc917a7d4fb4e422013bbd3332892a2c28302a64260c', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 19:09:14: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9a3200eed965dc917a7d4fb4e422013bbd3332892a2c28302a64260c', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 19:09:15: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'b502e7e074ec94e0c43f786aa3d02a1778f5df911f3692fbaa9b4daa', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 19:09:16: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9a3200eed965dc917a7d4fb4e422013bbd3332892a2c28302a64260c', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 19:09:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9a3200eed965dc917a7d4fb4e422013bbd3332892a2c28302a64260c', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 19:09:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9a3200eed965dc917a7d4fb4e422013bbd3332892a2c28302a64260c', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 19:09:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9a3200eed965dc917a7d4fb4e422013bbd3332892a2c28302a64260c', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 19:09:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9a3200eed965dc917a7d4fb4e422013bbd3332892a2c28302a64260c', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 19:09:20: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9a3200eed965dc917a7d4fb4e422013bbd3332892a2c28302a64260c', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 19:09:21: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9a3200eed965dc917a7d4fb4e422013bbd3332892a2c28302a64260c', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 19:09:21: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9a3200eed965dc917a7d4fb4e422013bbd3332892a2c28302a64260c', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 19:09:22: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'b502e7e074ec94e0c43f786aa3d02a1778f5df911f3692fbaa9b4daa', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 19:09:23: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9a3200eed965dc917a7d4fb4e422013bbd3332892a2c28302a64260c', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
