Testing SD card write operations: 2022-07-07 19:09:15
2022-07-07 19:10:31: {'Acceleration': '(0.07568359, -0.06677246, 1.005493)', 'Roll': '-4.304543', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.74745'}
2022-07-07 19:10:32: {'Acceleration': '(0.07617188, -0.06884766, 1.002075)', 'Roll': '-4.346929', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.58538'}
2022-07-07 19:10:33: {'Acceleration': '(0.07531738, -0.06835938, 1.000977)', 'Roll': '-4.303049', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.895837'}
2022-07-07 19:10:34: {'Acceleration': '(0.078125, -0.06542969, 1.004272)', 'Roll': '-4.302246', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.815742'}
2022-07-07 19:10:35: {'Acceleration': '(0.07409668, -0.06689453, 1.002319)', 'Roll': '-4.212577', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.689361'}
2022-07-07 19:10:36: {'Acceleration': '(0.07739258, -0.06103516, 1.007446)', 'Roll': '-4.392865', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.456811'}
2022-07-07 19:10:36: {'Acceleration': '(0.07678223, -0.06726074, 1.008911)', 'Roll': '-4.488534', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.716384'}
2022-07-07 19:10:37: {'Acceleration': '(0.07836914, -0.06506348, 1.005493)', 'Roll': '-4.470193', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.696995'}
2022-07-07 19:10:38: {'Acceleration': '(0.07897949, -0.06652832, 1.00415)', 'Roll': '-4.49723', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.77886'}
2022-07-07 19:10:39: {'Acceleration': '(0.07629395, -0.06738281, 1.00415)', 'Roll': '-4.47182', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '3.828361'}
2022-07-07 19:10:40: {'Acceleration': '(0.07580566, -0.06323242, 1.000366)', 'Roll': '-4.331998', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '3.751945'}
