Testing SD card write operations: 2023-01-28 09:39:16
2023-01-28 09:39:48: {'name': None, 'adv_flag': 26, 'rssi': -69, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '07e4efe117ff3957a954477ddec8723d104ef475c1ca95334376b454d452a791', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:49: {'name': None, 'adv_flag': 26, 'rssi': -85, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '07e4efe117ff3957a954477ddec8723d104ef475c1ca95334376b454d452a791', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:50: {'name': None, 'adv_flag': 26, 'rssi': -72, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '07e4efe117ff3957a954477ddec8723d104ef475c1ca95334376b454d452a791', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:51: {'name': None, 'adv_flag': None, 'rssi': -75, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '8e7f518e74806a3e4549b7983e37cdd705f2068f162173dd4f02ea80aee7d261', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:51: {'name': None, 'adv_flag': 26, 'rssi': -71, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '07e4efe117ff3957a954477ddec8723d104ef475c1ca95334376b454d452a791', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:52: {'name': None, 'adv_flag': 26, 'rssi': -75, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '07e4efe117ff3957a954477ddec8723d104ef475c1ca95334376b454d452a791', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:53: {'name': None, 'adv_flag': 26, 'rssi': -86, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'eb02148c63aa5aa801000f1e4aafd7f5f8aa0b176196aa9e83b616333978bd3d', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:54: {'name': None, 'adv_flag': 26, 'rssi': -58, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '25668941532ac95fb1fb99766db102c560e6de39edd169027b27283917587705', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:55: {'name': None, 'adv_flag': 26, 'rssi': -59, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '25668941532ac95fb1fb99766db102c560e6de39edd169027b27283917587705', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:55: {'name': None, 'adv_flag': 26, 'rssi': -60, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '25668941532ac95fb1fb99766db102c560e6de39edd169027b27283917587705', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:56: {'name': None, 'adv_flag': None, 'rssi': -59, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '58abee187f59096de0fb1304b64dc4beacab09425483481087c97167dc4cb25b', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:57: {'name': None, 'adv_flag': 26, 'rssi': -79, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '07e4efe117ff3957a954477ddec8723d104ef475c1ca95334376b454d452a791', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:58: {'name': None, 'adv_flag': 26, 'rssi': -64, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '25668941532ac95fb1fb99766db102c560e6de39edd169027b27283917587705', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:58: {'name': None, 'adv_flag': 26, 'rssi': -61, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '25668941532ac95fb1fb99766db102c560e6de39edd169027b27283917587705', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:39:59: {'name': None, 'adv_flag': 26, 'rssi': -84, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'eb02148c63aa5aa801000f1e4aafd7f5f8aa0b176196aa9e83b616333978bd3d', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:40:00: {'name': None, 'adv_flag': 26, 'rssi': -84, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'eb02148c63aa5aa801000f1e4aafd7f5f8aa0b176196aa9e83b616333978bd3d', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:40:01: {'name': None, 'adv_flag': None, 'rssi': -77, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '8e7f518e74806a3e4549b7983e37cdd705f2068f162173dd4f02ea80aee7d261', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:40:02: {'name': None, 'adv_flag': 26, 'rssi': -61, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '25668941532ac95fb1fb99766db102c560e6de39edd169027b27283917587705', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:40:02: {'name': None, 'adv_flag': 26, 'rssi': -84, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '07e4efe117ff3957a954477ddec8723d104ef475c1ca95334376b454d452a791', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:40:03: {'name': None, 'adv_flag': 26, 'rssi': -84, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'eb02148c63aa5aa801000f1e4aafd7f5f8aa0b176196aa9e83b616333978bd3d', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:40:04: {'name': None, 'adv_flag': 26, 'rssi': -81, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '07e4efe117ff3957a954477ddec8723d104ef475c1ca95334376b454d452a791', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:40:05: {'name': None, 'adv_flag': None, 'rssi': -76, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '8e7f518e74806a3e4549b7983e37cdd705f2068f162173dd4f02ea80aee7d261', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-28 09:40:06: {'name': None, 'adv_flag': 26, 'rssi': -87, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'eb02148c63aa5aa801000f1e4aafd7f5f8aa0b176196aa9e83b616333978bd3d', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
