Testing SD card write operations: 2022-06-25 17:07:04
2022-06-25 17:08:13: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-42}
2022-06-25 17:08:15: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-37}
2022-06-25 17:08:16: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-51}
2022-06-25 17:08:18: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-37}
2022-06-25 17:08:20: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-38}
2022-06-25 17:08:22: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-37}
2022-06-25 17:08:24: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-40}
2022-06-25 17:08:26: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-36}
2022-06-25 17:08:27: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-36}
2022-06-25 17:08:29: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-37}
2022-06-25 17:08:31: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-43}
2022-06-25 17:08:33: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-35}
2022-06-25 17:08:35: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-32}
2022-06-25 17:08:37: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-44}
2022-06-25 17:08:39: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-40}
2022-06-25 17:08:39: {'ssid':'B314', 'bssid':'725ca8a2d58cc1509f20bce106fd800ded4760cc91933e82af9a8d4b4f5d9b6a', 'sec':3, 'channel':11, 'rssi':-87}
2022-06-25 17:08:39: {'ssid':'B315', 'bssid':'8e6a85706da94b82b323cd5243afb4d1800c64e6ebec2682656c5821ccfbb6ef', 'sec':4, 'channel':1, 'rssi':-91}
2022-06-25 17:08:40: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-43}
2022-06-25 17:08:40: {'ssid':'B316', 'bssid':'1419980c990dd753692323ee5f350092bdfd832ebdea452248f7e47621aeee2e', 'sec':4, 'channel':1, 'rssi':-91}
2022-06-25 17:08:40: {'ssid':'B317', 'bssid':'d7ce0479f2ab652f3b98bd939b33570f45f8802d9701ead3a7af127019272dcd', 'sec':4, 'channel':6, 'rssi':-92}
2022-06-25 17:08:42: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-39}
2022-06-25 17:08:42: {'ssid':'B314', 'bssid':'725ca8a2d58cc1509f20bce106fd800ded4760cc91933e82af9a8d4b4f5d9b6a', 'sec':3, 'channel':11, 'rssi':-88}
2022-06-25 17:08:42: {'ssid':'B318', 'bssid':'7fd757e93e5dc76cbd02625425cd2776c45106f2f9c04e53a4824ebb3b8e6068', 'sec':3, 'channel':6, 'rssi':-93}
2022-06-25 17:08:44: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-36}
2022-06-25 17:08:44: {'ssid':'B319', 'bssid':'ad90e2a94028e7bcc79f59e28f183b468bff1e60982d66a37f4cc33af3dba91b', 'sec':3, 'channel':11, 'rssi':-93}
2022-06-25 17:08:46: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-39}
2022-06-25 17:08:46: {'ssid':'B316', 'bssid':'1419980c990dd753692323ee5f350092bdfd832ebdea452248f7e47621aeee2e', 'sec':4, 'channel':1, 'rssi':-91}
2022-06-25 17:08:46: {'ssid':'B320', 'bssid':'37dbe0ec577454b786b1213c13604123744cb3476f6d41098045591c18ed4f79', 'sec':4, 'channel':7, 'rssi':-96}
2022-06-25 17:08:48: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-37}
2022-06-25 17:08:48: {'ssid':'B314', 'bssid':'725ca8a2d58cc1509f20bce106fd800ded4760cc91933e82af9a8d4b4f5d9b6a', 'sec':3, 'channel':11, 'rssi':-89}
2022-06-25 17:08:50: {'ssid':'B36', 'bssid':'113afbf5cfdbd65b1871475daaa580ead60446bf0ee5e49b2a2be290f6b836f9', 'sec':5, 'channel':7, 'rssi':-90}
2022-06-25 17:08:50: {'ssid':'B36', 'bssid':'64e453f4c694700ec8383eef49c59e635dcacc670f0c058dc488a3f852bd9609', 'sec':5, 'channel':6, 'rssi':-92}
2022-06-25 17:08:50: {'ssid':'B321', 'bssid':'9d3e5be2baef11b4d829c9a3840035ce450b05ca0cd07c602a76b6c42d259ff2', 'sec':4, 'channel':1, 'rssi':-95}
2022-06-25 17:08:52: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-45}
2022-06-25 17:08:52: {'ssid':'B322', 'bssid':'4c35cd6c7b827bcfcb5390f4c2c9798dcd0c811aee4e5c68489f5afc8bbf5cf3', 'sec':4, 'channel':1, 'rssi':-83}
2022-06-25 17:08:52: {'ssid':'B36', 'bssid':'5ef2d1e61bb3612c3db7b99ef95a4ccff50a48aaee70a63125dec7cd0506aa21', 'sec':5, 'channel':11, 'rssi':-85}
2022-06-25 17:08:52: {'ssid':'B314', 'bssid':'725ca8a2d58cc1509f20bce106fd800ded4760cc91933e82af9a8d4b4f5d9b6a', 'sec':3, 'channel':11, 'rssi':-87}
2022-06-25 17:08:52: {'ssid':'B320', 'bssid':'37dbe0ec577454b786b1213c13604123744cb3476f6d41098045591c18ed4f79', 'sec':4, 'channel':7, 'rssi':-89}
2022-06-25 17:08:54: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-44}
