Testing SD card write operations: 2022-06-25 17:07:04
2022-06-25 17:07:48: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '633fa58bb99088d1b89af68a2eda2c2d56adbde460fba56cd16e7c00db319857', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-25 17:07:48: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '042da34fb141dba88d674709bfa2e6fd831cde0cab9b2332955f937d8f24076a', 'rssi': -55, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 17:07:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'aef53504165ab25019e300c55773dfd83d967d774edd0963bea09814102f5574', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 4, 'adv_tx_pwr': 3}
2022-06-25 17:07:50: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'aef53504165ab25019e300c55773dfd83d967d774edd0963bea09814102f5574', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 4, 'adv_tx_pwr': 3}
2022-06-25 17:07:51: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '042da34fb141dba88d674709bfa2e6fd831cde0cab9b2332955f937d8f24076a', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 17:07:52: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'aef53504165ab25019e300c55773dfd83d967d774edd0963bea09814102f5574', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 4, 'adv_tx_pwr': 3}
2022-06-25 17:07:52: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '042da34fb141dba88d674709bfa2e6fd831cde0cab9b2332955f937d8f24076a', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 17:07:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '042da34fb141dba88d674709bfa2e6fd831cde0cab9b2332955f937d8f24076a', 'rssi': -59, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 17:07:54: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a390e9d1282101931116a85457659c14ae83e71cd734e33bf3e1a49a2b896d6d', 'rssi': -60, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 17:07:55: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '042da34fb141dba88d674709bfa2e6fd831cde0cab9b2332955f937d8f24076a', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 17:07:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '042da34fb141dba88d674709bfa2e6fd831cde0cab9b2332955f937d8f24076a', 'rssi': -66, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 17:07:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '042da34fb141dba88d674709bfa2e6fd831cde0cab9b2332955f937d8f24076a', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 17:07:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'aef53504165ab25019e300c55773dfd83d967d774edd0963bea09814102f5574', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 4, 'adv_tx_pwr': 3}
2022-06-25 17:07:58: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a390e9d1282101931116a85457659c14ae83e71cd734e33bf3e1a49a2b896d6d', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 17:07:59: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'aef53504165ab25019e300c55773dfd83d967d774edd0963bea09814102f5574', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 4, 'adv_tx_pwr': 3}
2022-06-25 17:08:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'aef53504165ab25019e300c55773dfd83d967d774edd0963bea09814102f5574', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 4, 'adv_tx_pwr': 3}
2022-06-25 17:08:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'aef53504165ab25019e300c55773dfd83d967d774edd0963bea09814102f5574', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 4, 'adv_tx_pwr': 3}
2022-06-25 17:08:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '042da34fb141dba88d674709bfa2e6fd831cde0cab9b2332955f937d8f24076a', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 17:08:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '042da34fb141dba88d674709bfa2e6fd831cde0cab9b2332955f937d8f24076a', 'rssi': -66, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 17:08:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'aef53504165ab25019e300c55773dfd83d967d774edd0963bea09814102f5574', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 4, 'adv_tx_pwr': 3}
2022-06-25 17:08:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '042da34fb141dba88d674709bfa2e6fd831cde0cab9b2332955f937d8f24076a', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 17:08:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '042da34fb141dba88d674709bfa2e6fd831cde0cab9b2332955f937d8f24076a', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 17:08:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '042da34fb141dba88d674709bfa2e6fd831cde0cab9b2332955f937d8f24076a', 'rssi': -55, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 17:08:06: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a4bd4abd36354ec998f7e759cdf96bea53d18f071494b947c883ef7fc90bde47', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 17:08:07: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'aef53504165ab25019e300c55773dfd83d967d774edd0963bea09814102f5574', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 4, 'adv_tx_pwr': 3}
2022-06-25 17:08:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '042da34fb141dba88d674709bfa2e6fd831cde0cab9b2332955f937d8f24076a', 'rssi': -60, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 17:08:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'aef53504165ab25019e300c55773dfd83d967d774edd0963bea09814102f5574', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 4, 'adv_tx_pwr': 3}
