Testing SD card write operations: 2022-07-07 09:22:00
2022-07-07 09:23:30: {'ssid':'P10', 'bssid':'e752ae03a136db49e67bf67633eb45baa709c7f02ab4222a0febe961dde4e35a', 'sec':3, 'channel':11, 'rssi':-78}
2022-07-07 09:23:32: {'ssid':'P10', 'bssid':'e752ae03a136db49e67bf67633eb45baa709c7f02ab4222a0febe961dde4e35a', 'sec':3, 'channel':11, 'rssi':-72}
2022-07-07 09:23:32: {'ssid':'P11', 'bssid':'16335da31015c1e2f21157882e8b90c214f1aa66d9dfcbd47513936953f51b5e', 'sec':3, 'channel':6, 'rssi':-77}
2022-07-07 09:23:34: {'ssid':'P10', 'bssid':'e752ae03a136db49e67bf67633eb45baa709c7f02ab4222a0febe961dde4e35a', 'sec':3, 'channel':11, 'rssi':-82}
2022-07-07 09:23:34: {'ssid':'P13', 'bssid':'f8dfe19773fd27ae1e4e20335ab374964a0ef3d00415f66e5c3ee2f24f97b2b5', 'sec':3, 'channel':1, 'rssi':-84}
2022-07-07 09:23:36: {'ssid':'P10', 'bssid':'e752ae03a136db49e67bf67633eb45baa709c7f02ab4222a0febe961dde4e35a', 'sec':3, 'channel':11, 'rssi':-71}
2022-07-07 09:23:36: {'ssid':'P13', 'bssid':'f8dfe19773fd27ae1e4e20335ab374964a0ef3d00415f66e5c3ee2f24f97b2b5', 'sec':3, 'channel':1, 'rssi':-85}
2022-07-07 09:23:38: {'ssid':'P11', 'bssid':'16335da31015c1e2f21157882e8b90c214f1aa66d9dfcbd47513936953f51b5e', 'sec':3, 'channel':6, 'rssi':-74}
2022-07-07 09:23:39: {'ssid':'P11', 'bssid':'16335da31015c1e2f21157882e8b90c214f1aa66d9dfcbd47513936953f51b5e', 'sec':3, 'channel':6, 'rssi':-75}
2022-07-07 09:23:41: {'ssid':'P11', 'bssid':'16335da31015c1e2f21157882e8b90c214f1aa66d9dfcbd47513936953f51b5e', 'sec':3, 'channel':6, 'rssi':-77}
2022-07-07 09:23:41: {'ssid':'P10', 'bssid':'e752ae03a136db49e67bf67633eb45baa709c7f02ab4222a0febe961dde4e35a', 'sec':3, 'channel':11, 'rssi':-80}
2022-07-07 09:23:43: {'ssid':'P10', 'bssid':'e752ae03a136db49e67bf67633eb45baa709c7f02ab4222a0febe961dde4e35a', 'sec':3, 'channel':11, 'rssi':-76}
2022-07-07 09:23:43: {'ssid':'P11', 'bssid':'16335da31015c1e2f21157882e8b90c214f1aa66d9dfcbd47513936953f51b5e', 'sec':3, 'channel':6, 'rssi':-86}
2022-07-07 09:23:45: {'ssid':'P11', 'bssid':'16335da31015c1e2f21157882e8b90c214f1aa66d9dfcbd47513936953f51b5e', 'sec':3, 'channel':6, 'rssi':-76}
2022-07-07 09:23:47: {'ssid':'P11', 'bssid':'16335da31015c1e2f21157882e8b90c214f1aa66d9dfcbd47513936953f51b5e', 'sec':3, 'channel':6, 'rssi':-91}
2022-07-07 09:23:49: {'ssid':'P10', 'bssid':'e752ae03a136db49e67bf67633eb45baa709c7f02ab4222a0febe961dde4e35a', 'sec':3, 'channel':11, 'rssi':-85}
