Testing SD card write operations: 2022-07-07 09:22:00
2022-07-07 09:22:38: {'adv_flag': 24, 'def_tx_pwr': 3, 'mac': '301b41130af665a3af420b7806d0bd8163fc0eb71968b74d41046fb0e0e8574e', 'rssi': -88, 'name': 'Pb10', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 09:22:39: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '01e429cc34bbffd06b8eceaee33f2dbb7ff7c0bb58c5d9dfaf1fd69e34543455', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 5, 'adv_tx_pwr': 3}
2022-07-07 09:22:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e7c727c6b7250cc19665b272d44f4430bde4ea396ac1d98073e41534e5ef8758', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:22:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'a8c41a045264d67499ba8c942051331bd915a0d907795d724dbb3943d4f98fb6', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 09:22:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bdab9d96adc734eb9edfb640acb3d2f257a598a39db9b903796c9a85200e65f4', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:22:42: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bdab9d96adc734eb9edfb640acb3d2f257a598a39db9b903796c9a85200e65f4', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:22:43: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4a1c98db71cae7e1f5e8e958f809ff0ace56ba4cd2802dec6fd6cf26e242f05b', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:22:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4a1c98db71cae7e1f5e8e958f809ff0ace56ba4cd2802dec6fd6cf26e242f05b', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:22:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bdab9d96adc734eb9edfb640acb3d2f257a598a39db9b903796c9a85200e65f4', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:22:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4a1c98db71cae7e1f5e8e958f809ff0ace56ba4cd2802dec6fd6cf26e242f05b', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
