Testing SD card write operations: 2022-07-07 09:13:21
2022-07-07 09:14:11: {'ssid':'B69', 'bssid':'f7d00ea5eeb27544a2afe3da2acb4b176637c8a388566f6d385bba51', 'sec':4, 'channel':6, 'rssi':-73}
2022-07-07 09:14:11: {'ssid':'B610', 'bssid':'1c696e65466f803de756ea83815be5613c1640688239affd876dcfe7', 'sec':5, 'channel':6, 'rssi':-75}
2022-07-07 09:14:11: {'ssid':'B618', 'bssid':'dec49a205d727b8d9b3ff079a34b6965ec7358a32e121d73663c4b99', 'sec':0, 'channel':6, 'rssi':-75}
2022-07-07 09:14:11: {'ssid':'B621', 'bssid':'696af090cdcd2a63019b8c0c4073675d6bafd5597af1e3a4d22792ef', 'sec':3, 'channel':11, 'rssi':-92}
2022-07-07 09:14:17: {'ssid':'B66', 'bssid':'592e72c3029324d4275c7006a581a655c1972569e8a93c789fe93017', 'sec':5, 'channel':11, 'rssi':-94}
2022-07-07 09:14:20: {'ssid':'B610', 'bssid':'f281aab972b97fc920119e950f2fd9af780abe26026c41def6ca9380', 'sec':5, 'channel':6, 'rssi':-89}
2022-07-07 09:14:20: {'ssid':'B618', 'bssid':'8499840ec63db009f8a0155ebdc7016937d11e8ea15ab7442ec206c9', 'sec':0, 'channel':6, 'rssi':-89}
2022-07-07 09:14:20: {'ssid':'B612', 'bssid':'e3cd8851c989ad6274ed36bdbd7fe73511c0284244d895c96ff7babe', 'sec':3, 'channel':11, 'rssi':-91}
2022-07-07 09:14:22: {'ssid':'B622', 'bssid':'f2ab20738429431121266e762f0f59e173f807448f6fc8fc8c07861b', 'sec':4, 'channel':1, 'rssi':-89}
2022-07-07 09:14:24: {'ssid':'B622', 'bssid':'f2ab20738429431121266e762f0f59e173f807448f6fc8fc8c07861b', 'sec':4, 'channel':1, 'rssi':-91}
2022-07-07 09:14:24: {'ssid':'B623', 'bssid':'14326e37ef4e8f938d0e312cf83b09b8891044b671421e9e7d79e878', 'sec':4, 'channel':11, 'rssi':-95}
2022-07-07 09:14:26: {'ssid':'B622', 'bssid':'f2ab20738429431121266e762f0f59e173f807448f6fc8fc8c07861b', 'sec':4, 'channel':1, 'rssi':-89}
2022-07-07 09:14:26: {'ssid':'B618', 'bssid':'8499840ec63db009f8a0155ebdc7016937d11e8ea15ab7442ec206c9', 'sec':0, 'channel':6, 'rssi':-92}
2022-07-07 09:14:30: {'ssid':'B618', 'bssid':'8499840ec63db009f8a0155ebdc7016937d11e8ea15ab7442ec206c9', 'sec':0, 'channel':6, 'rssi':-86}
2022-07-07 09:14:31: {'ssid':'B624', 'bssid':'248f644b9e8abb99ba6ff0079c11afe15a10ab70266a41d53c74d90e', 'sec':4, 'channel':6, 'rssi':-91}
2022-07-07 09:14:31: {'ssid':'B618', 'bssid':'8499840ec63db009f8a0155ebdc7016937d11e8ea15ab7442ec206c9', 'sec':0, 'channel':6, 'rssi':-92}
2022-07-07 09:14:31: {'ssid':'B611', 'bssid':'2e79a7e815162069200fbdc85b36c939234606c3d22e5bf67a71a9ce', 'sec':2, 'channel':11, 'rssi':-93}
2022-07-07 09:14:33: {'ssid':'B623', 'bssid':'14326e37ef4e8f938d0e312cf83b09b8891044b671421e9e7d79e878', 'sec':4, 'channel':11, 'rssi':-95}
