Testing SD card write operations: 2022-07-07 09:13:21
2022-07-07 09:13:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0dec08b42c6657a5c71ceeb2bfc7d802a334a862a6d7b4f90858093789bf710d', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 09:13:48: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '03222b9979b93db8aec8e95bbcc5720ca2d9dc097410de103382a955127bd406', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:13:49: {'adv_flag': 24, 'def_tx_pwr': 3, 'mac': '694e12c00621d02cd54da8560f09c99934061de698c55bc46184c654a5ec5f0b', 'rssi': -82, 'name': 'BB60', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 09:13:50: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ff8ad62b4909bdc7444aa7220779ea7bb71172386180dbaa9a3fb8fe09b2e9cf', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 09:13:50: {'adv_flag': 24, 'def_tx_pwr': 3, 'mac': '694e12c00621d02cd54da8560f09c99934061de698c55bc46184c654a5ec5f0b', 'rssi': -77, 'name': 'BB60', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 09:13:51: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '88627ea932f29f270b58456c7a8c5df33471d1a8b1a8347cf7d5d7724e2cd8c3', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 09:13:52: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6373835991c4fbaa2253f1daed345f81e5b2dfb2f63dd191fbc5dea931ffc13b', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 09:13:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6373835991c4fbaa2253f1daed345f81e5b2dfb2f63dd191fbc5dea931ffc13b', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 09:13:54: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '7c71145b8aaf7dd7272eec8b68e0c1ca6a2d5e12bd57f4773929b1df938dfd3a', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 09:13:54: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'c984211645d13a02209f22c0fdf221edbb58f7a445df7b16e59fe777800aa7ad', 'rssi': -54, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
