Testing SD card write operations: 2022-09-12 07:57:14
2022-09-12 08:00:22: {'ssid':'P105', 'bssid':'203e1818518857fda8b74909721c6b80ef8bd10523b6a311ff9d15b8021a2a9d', 'sec':3, 'channel':6, 'rssi':-77}
2022-09-12 08:00:22: {'ssid':'P107', 'bssid':'50ac355d08cbdbffe2e9fc9449a086591df09b394ec493d87d5495e3e3d51f80', 'sec':3, 'channel':3, 'rssi':-91}
2022-09-12 08:00:31: {'ssid':'P101', 'bssid':'5f6e1d78c27c5f25c336721dcd29d957369af5d8013347f0ff620d6305dd671b', 'sec':5, 'channel':1, 'rssi':-85}
2022-09-12 08:00:31: {'ssid':'P102', 'bssid':'3e860b27163d108527ec66b892cb654e6ba7633b22fd8f7740110cc510032c6f', 'sec':0, 'channel':1, 'rssi':-85}
2022-09-12 08:00:33: {'ssid':'P102', 'bssid':'3e860b27163d108527ec66b892cb654e6ba7633b22fd8f7740110cc510032c6f', 'sec':0, 'channel':1, 'rssi':-87}
2022-09-12 08:00:33: {'ssid':'P101', 'bssid':'5f6e1d78c27c5f25c336721dcd29d957369af5d8013347f0ff620d6305dd671b', 'sec':5, 'channel':1, 'rssi':-89}
2022-09-12 08:00:34: {'ssid':'P105', 'bssid':'203e1818518857fda8b74909721c6b80ef8bd10523b6a311ff9d15b8021a2a9d', 'sec':3, 'channel':6, 'rssi':-67}
2022-09-12 08:00:34: {'ssid':'P101', 'bssid':'df866d449fb4b5835c5acaaa1572dfaf845547685b32a8f247f881baf8aba7ef', 'sec':5, 'channel':6, 'rssi':-82}
2022-09-12 08:00:34: {'ssid':'P102', 'bssid':'3858a5ea82e7e1dd25dccc1f2d4763bc05a9a90e24069aa292688fbdbb46aa0e', 'sec':0, 'channel':6, 'rssi':-82}
2022-09-12 08:00:42: {'ssid':'P102', 'bssid':'3858a5ea82e7e1dd25dccc1f2d4763bc05a9a90e24069aa292688fbdbb46aa0e', 'sec':0, 'channel':6, 'rssi':-80}
2022-09-12 08:00:42: {'ssid':'P101', 'bssid':'df866d449fb4b5835c5acaaa1572dfaf845547685b32a8f247f881baf8aba7ef', 'sec':5, 'channel':6, 'rssi':-81}
2022-09-12 08:00:42: {'ssid':'P101', 'bssid':'5f6e1d78c27c5f25c336721dcd29d957369af5d8013347f0ff620d6305dd671b', 'sec':5, 'channel':1, 'rssi':-87}
2022-09-12 08:00:42: {'ssid':'P102', 'bssid':'3e860b27163d108527ec66b892cb654e6ba7633b22fd8f7740110cc510032c6f', 'sec':0, 'channel':1, 'rssi':-87}
2022-09-12 08:00:42: {'ssid':'P101', 'bssid':'3aaace43f7b276bd35af5b79000ccdd8462736e17cc49ec16098d04c6390a057', 'sec':5, 'channel':1, 'rssi':-88}
2022-09-12 08:00:42: {'ssid':'P102', 'bssid':'63afde5fa7e1bc6c7c25fa678c285d22004dd13ba05e3df37eb360f2d8eed6ab', 'sec':0, 'channel':1, 'rssi':-88}
2022-09-12 08:00:44: {'ssid':'P101', 'bssid':'590d04db8a6d48c235b85b3263f350fb33eefc93cf4f3fe7588a764ce10ecf44', 'sec':5, 'channel':1, 'rssi':-78}
2022-09-12 08:00:44: {'ssid':'P101', 'bssid':'df866d449fb4b5835c5acaaa1572dfaf845547685b32a8f247f881baf8aba7ef', 'sec':5, 'channel':6, 'rssi':-78}
2022-09-12 08:00:44: {'ssid':'P102', 'bssid':'3858a5ea82e7e1dd25dccc1f2d4763bc05a9a90e24069aa292688fbdbb46aa0e', 'sec':0, 'channel':6, 'rssi':-78}
2022-09-12 08:00:44: {'ssid':'P102', 'bssid':'6db930f4f153d8e1fce9916be6bd8012f3a132047a2481d2376693c70129c777', 'sec':0, 'channel':1, 'rssi':-79}
2022-09-12 08:00:44: {'ssid':'P101', 'bssid':'3fbe349a39ac23bedba359aab84a87bf7e601e28f48a28cfe8a00e7e874a20a9', 'sec':5, 'channel':1, 'rssi':-88}
2022-09-12 08:00:44: {'ssid':'P102', 'bssid':'0f2a026595bc07508b7c30a3464f57da078838576fcdc65e23a4de23a302b52e', 'sec':0, 'channel':1, 'rssi':-88}
2022-09-12 08:00:46: {'ssid':'P101', 'bssid':'3aaace43f7b276bd35af5b79000ccdd8462736e17cc49ec16098d04c6390a057', 'sec':5, 'channel':1, 'rssi':-82}
2022-09-12 08:00:46: {'ssid':'P101', 'bssid':'df866d449fb4b5835c5acaaa1572dfaf845547685b32a8f247f881baf8aba7ef', 'sec':5, 'channel':6, 'rssi':-82}
2022-09-12 08:00:46: {'ssid':'P102', 'bssid':'3858a5ea82e7e1dd25dccc1f2d4763bc05a9a90e24069aa292688fbdbb46aa0e', 'sec':0, 'channel':6, 'rssi':-82}
2022-09-12 08:00:46: {'ssid':'P102', 'bssid':'63afde5fa7e1bc6c7c25fa678c285d22004dd13ba05e3df37eb360f2d8eed6ab', 'sec':0, 'channel':1, 'rssi':-83}
2022-09-12 08:00:46: {'ssid':'P102', 'bssid':'ff06b6eb1aef56b2ef7952d62082f6f0e62c7f9ec233b55a9abf50fb106c6855', 'sec':0, 'channel':6, 'rssi':-88}
2022-09-12 08:00:48: {'ssid':'P101', 'bssid':'590d04db8a6d48c235b85b3263f350fb33eefc93cf4f3fe7588a764ce10ecf44', 'sec':5, 'channel':1, 'rssi':-86}
2022-09-12 08:00:48: {'ssid':'P102', 'bssid':'6db930f4f153d8e1fce9916be6bd8012f3a132047a2481d2376693c70129c777', 'sec':0, 'channel':1, 'rssi':-86}
2022-09-12 08:00:50: {'ssid':'P102', 'bssid':'63afde5fa7e1bc6c7c25fa678c285d22004dd13ba05e3df37eb360f2d8eed6ab', 'sec':0, 'channel':1, 'rssi':-82}
2022-09-12 08:00:50: {'ssid':'P101', 'bssid':'df866d449fb4b5835c5acaaa1572dfaf845547685b32a8f247f881baf8aba7ef', 'sec':5, 'channel':6, 'rssi':-88}
2022-09-12 08:00:52: {'ssid':'P101', 'bssid':'3aaace43f7b276bd35af5b79000ccdd8462736e17cc49ec16098d04c6390a057', 'sec':5, 'channel':1, 'rssi':-83}
2022-09-12 08:00:52: {'ssid':'P102', 'bssid':'6db930f4f153d8e1fce9916be6bd8012f3a132047a2481d2376693c70129c777', 'sec':0, 'channel':1, 'rssi':-85}
2022-09-12 08:00:53: {'ssid':'P102', 'bssid':'3858a5ea82e7e1dd25dccc1f2d4763bc05a9a90e24069aa292688fbdbb46aa0e', 'sec':0, 'channel':6, 'rssi':-81}
2022-09-12 08:00:53: {'ssid':'P101', 'bssid':'df866d449fb4b5835c5acaaa1572dfaf845547685b32a8f247f881baf8aba7ef', 'sec':5, 'channel':6, 'rssi':-82}
2022-09-12 08:00:55: {'ssid':'P102', 'bssid':'63afde5fa7e1bc6c7c25fa678c285d22004dd13ba05e3df37eb360f2d8eed6ab', 'sec':0, 'channel':1, 'rssi':-80}
2022-09-12 08:00:55: {'ssid':'P101', 'bssid':'3aaace43f7b276bd35af5b79000ccdd8462736e17cc49ec16098d04c6390a057', 'sec':5, 'channel':1, 'rssi':-81}
2022-09-12 08:00:59: {'ssid':'P101', 'bssid':'14bd1a86f057e24541ee57b32abbec6de763fa9dc7359107a68f64b4c469d92f', 'sec':5, 'channel':6, 'rssi':-86}
2022-09-12 08:00:59: {'ssid':'P102', 'bssid':'ff06b6eb1aef56b2ef7952d62082f6f0e62c7f9ec233b55a9abf50fb106c6855', 'sec':0, 'channel':6, 'rssi':-86}
2022-09-12 08:01:01: {'ssid':'P101', 'bssid':'3aaace43f7b276bd35af5b79000ccdd8462736e17cc49ec16098d04c6390a057', 'sec':5, 'channel':1, 'rssi':-76}
2022-09-12 08:01:01: {'ssid':'P102', 'bssid':'63afde5fa7e1bc6c7c25fa678c285d22004dd13ba05e3df37eb360f2d8eed6ab', 'sec':0, 'channel':1, 'rssi':-76}
2022-09-12 08:01:01: {'ssid':'P101', 'bssid':'14bd1a86f057e24541ee57b32abbec6de763fa9dc7359107a68f64b4c469d92f', 'sec':5, 'channel':6, 'rssi':-83}
2022-09-12 08:01:01: {'ssid':'P102', 'bssid':'ff06b6eb1aef56b2ef7952d62082f6f0e62c7f9ec233b55a9abf50fb106c6855', 'sec':0, 'channel':6, 'rssi':-84}
2022-09-12 08:01:03: {'ssid':'P108', 'bssid':'47ec914e1341fa941a48918d6783a836f5c230fcf0a78f7ddd8757303f9cee24', 'sec':3, 'channel':6, 'rssi':-90}
2022-09-12 08:01:05: {'ssid':'P101', 'bssid':'2c2baa926afe2544874f8681bd51e6db5cfca503cf5b90ce24475b1d6f4781d6', 'sec':5, 'channel':1, 'rssi':-85}
2022-09-12 08:01:05: {'ssid':'P102', 'bssid':'c0b91fc2b7afe9359660c269528ea3b5f66482ce836bfcf15c5478cb73aebc83', 'sec':0, 'channel':1, 'rssi':-85}
2022-09-12 08:01:05: {'ssid':'P108', 'bssid':'47ec914e1341fa941a48918d6783a836f5c230fcf0a78f7ddd8757303f9cee24', 'sec':3, 'channel':6, 'rssi':-86}
2022-09-12 08:01:07: {'ssid':'P101', 'bssid':'2c2baa926afe2544874f8681bd51e6db5cfca503cf5b90ce24475b1d6f4781d6', 'sec':5, 'channel':1, 'rssi':-85}
2022-09-12 08:01:08: {'ssid':'P101', 'bssid':'df866d449fb4b5835c5acaaa1572dfaf845547685b32a8f247f881baf8aba7ef', 'sec':5, 'channel':6, 'rssi':-82}
2022-09-12 08:01:08: {'ssid':'P101', 'bssid':'2c2baa926afe2544874f8681bd51e6db5cfca503cf5b90ce24475b1d6f4781d6', 'sec':5, 'channel':1, 'rssi':-92}
2022-09-12 08:01:08: {'ssid':'P102', 'bssid':'c0b91fc2b7afe9359660c269528ea3b5f66482ce836bfcf15c5478cb73aebc83', 'sec':0, 'channel':1, 'rssi':-92}
2022-09-12 08:01:12: {'ssid':'P101', 'bssid':'2c2baa926afe2544874f8681bd51e6db5cfca503cf5b90ce24475b1d6f4781d6', 'sec':5, 'channel':1, 'rssi':-78}
2022-09-12 08:01:12: {'ssid':'P102', 'bssid':'c0b91fc2b7afe9359660c269528ea3b5f66482ce836bfcf15c5478cb73aebc83', 'sec':0, 'channel':1, 'rssi':-78}
2022-09-12 08:01:14: {'ssid':'P101', 'bssid':'2c2baa926afe2544874f8681bd51e6db5cfca503cf5b90ce24475b1d6f4781d6', 'sec':5, 'channel':1, 'rssi':-80}
2022-09-12 08:01:14: {'ssid':'P102', 'bssid':'c0b91fc2b7afe9359660c269528ea3b5f66482ce836bfcf15c5478cb73aebc83', 'sec':0, 'channel':1, 'rssi':-80}
2022-09-12 08:01:16: {'ssid':'P105', 'bssid':'203e1818518857fda8b74909721c6b80ef8bd10523b6a311ff9d15b8021a2a9d', 'sec':3, 'channel':6, 'rssi':-82}
2022-09-12 08:01:16: {'ssid':'P102', 'bssid':'3a9fb40613c683f8c524a0cdb9be94b4fc64617180cf5e1abec64553f8851735', 'sec':0, 'channel':1, 'rssi':-86}
2022-09-12 08:01:16: {'ssid':'P101', 'bssid':'275b844dbe244697423167abc60ce18b4a3c0444a1836b6ee0efe484366dd22e', 'sec':5, 'channel':1, 'rssi':-90}
