Testing SD card write operations: 2022-09-12 07:57:14
2022-09-12 07:57:52: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '7197493d77b206bd3e01e87d3c3d349c1bb032852594090391e4441ee0cb3d6a', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-09-12 07:57:52: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '7197493d77b206bd3e01e87d3c3d349c1bb032852594090391e4441ee0cb3d6a', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-09-12 07:57:53: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '9144a548fdd97e3edee0a3e57fff2e7e3148b39044dd641e5aa90d5032f8fc9d', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-12 07:57:54: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '7197493d77b206bd3e01e87d3c3d349c1bb032852594090391e4441ee0cb3d6a', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-09-12 07:57:55: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '7eaf38ca50f4eed42d64522baa9006a5ad218701c3605a78b67a3757799bbf81', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-12 07:57:56: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'fa1d11d0c73554ee8d019a347df31fa88ca4e535f2a9d5a69321b51e5b184a34', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-12 07:57:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '7eaf38ca50f4eed42d64522baa9006a5ad218701c3605a78b67a3757799bbf81', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-12 07:57:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '7eaf38ca50f4eed42d64522baa9006a5ad218701c3605a78b67a3757799bbf81', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-12 07:57:58: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '7eaf38ca50f4eed42d64522baa9006a5ad218701c3605a78b67a3757799bbf81', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-12 07:57:59: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '7eaf38ca50f4eed42d64522baa9006a5ad218701c3605a78b67a3757799bbf81', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-12 07:58:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '7eaf38ca50f4eed42d64522baa9006a5ad218701c3605a78b67a3757799bbf81', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-12 07:58:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '7e0909cf470780776b3fe5a09328d8c1f83608fc41df5aab29b9471342a5cac3', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-12 07:58:01: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e6e8a04076c381b54a15afec55816e35ddc4598cab524851c7caf1c2a7b52d01', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-12 07:58:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '7e0909cf470780776b3fe5a09328d8c1f83608fc41df5aab29b9471342a5cac3', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-12 07:58:03: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e6e8a04076c381b54a15afec55816e35ddc4598cab524851c7caf1c2a7b52d01', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-12 07:58:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9854f802f6b75558a48c35925d514f01917c0363587723f6edc829c9fb2e542b', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-12 07:58:12: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9dd769d741cbde77fe07aea3688557e2db4336c0e6deff8187192c0bced66640', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-12 07:58:13: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9dd769d741cbde77fe07aea3688557e2db4336c0e6deff8187192c0bced66640', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-12 07:58:14: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9dd769d741cbde77fe07aea3688557e2db4336c0e6deff8187192c0bced66640', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-12 07:58:14: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9dd769d741cbde77fe07aea3688557e2db4336c0e6deff8187192c0bced66640', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-12 07:58:15: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '088594fac9bdde082545d5d605b0ffd5692d5e7e1ba5b324f32eff12deab383e', 'rssi': -57, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-12 07:58:16: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '088594fac9bdde082545d5d605b0ffd5692d5e7e1ba5b324f32eff12deab383e', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-12 07:58:18: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '088594fac9bdde082545d5d605b0ffd5692d5e7e1ba5b324f32eff12deab383e', 'rssi': -53, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-12 07:58:20: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '088594fac9bdde082545d5d605b0ffd5692d5e7e1ba5b324f32eff12deab383e', 'rssi': -50, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-12 07:58:22: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '088594fac9bdde082545d5d605b0ffd5692d5e7e1ba5b324f32eff12deab383e', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-12 07:58:23: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': 'c5d8893b20d9cfdfd10ecce6f030d5c1b30204e6a1f29b77b73d252b4d34b0b3', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-12 07:58:24: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '088594fac9bdde082545d5d605b0ffd5692d5e7e1ba5b324f32eff12deab383e', 'rssi': -57, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
