Testing SD card write operations: 2023-01-26 08:32:31
2023-01-26 08:32:55: {'name': None, 'adv_flag': None, 'rssi': -56, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '9b7fac06ee0617b81bd55465b49eca01b2fd1bbc6c5dc0b684468172', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 08:32:55: {'name': None, 'adv_flag': 26, 'rssi': -86, 'adv_tx_pwr': 0, 'tx_range': 4, 'def_tx_pwr': 0, 'mac': '008f57315e7c103a64f4a53c1ae5af07e54a6b6a5580b78adbcbeace', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 08:32:56: {'name': None, 'adv_flag': 26, 'rssi': -50, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '924568b794378425bd9a90915ca7a454957e3e18fcac277767047cd3', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 08:32:57: {'name': None, 'adv_flag': 26, 'rssi': -50, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '924568b794378425bd9a90915ca7a454957e3e18fcac277767047cd3', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 08:32:58: {'name': None, 'adv_flag': None, 'rssi': -42, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '9b7fac06ee0617b81bd55465b49eca01b2fd1bbc6c5dc0b684468172', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 08:32:59: {'name': None, 'adv_flag': 26, 'rssi': -70, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '924568b794378425bd9a90915ca7a454957e3e18fcac277767047cd3', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 08:32:59: {'name': None, 'adv_flag': 26, 'rssi': -59, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '924568b794378425bd9a90915ca7a454957e3e18fcac277767047cd3', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 08:33:00: {'name': None, 'adv_flag': None, 'rssi': -96, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'ef4881f0219f659204d2cfd0174fe66f6094ec41f108708dc0c3700e', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 08:33:01: {'name': None, 'adv_flag': None, 'rssi': -93, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'ef4881f0219f659204d2cfd0174fe66f6094ec41f108708dc0c3700e', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 08:33:02: {'name': None, 'adv_flag': 26, 'rssi': -71, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '924568b794378425bd9a90915ca7a454957e3e18fcac277767047cd3', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
