Testing SD card write operations: 1970-01-01 02:00:10
2022-06-27 12:21:43: {'Acceleration': '(-0.1213379, -0.1870117, 1.0802)', 'Roll': '6.409115', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '9.761879'}
2022-06-27 12:21:44: {'Acceleration': '(-0.1247559, -0.3024902, 0.9492188)', 'Roll': '7.487471', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '16.8339'}
2022-06-27 12:21:45: {'Acceleration': '(-0.1958008, -0.3070068, 1.158081)', 'Roll': '9.596441', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '14.64878'}
2022-06-27 12:21:46: {'Acceleration': '(-0.08837891, -0.2399902, 1.027588)', 'Roll': '4.915694', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '13.09896'}
2022-06-27 12:21:46: {'Acceleration': '(-0.09008789, -0.2591553, 0.9743652)', 'Roll': '5.455679', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '13.1371'}
2022-06-27 12:21:47: {'Acceleration': '(-0.04858398, -0.2785645, 1.024048)', 'Roll': '2.716251', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '13.53624'}
2022-06-27 12:21:48: {'Acceleration': '(-0.2161865, -0.3078613, 1.033081)', 'Roll': '11.42303', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '14.72935'}
2022-06-27 12:21:49: {'Acceleration': '(-0.2064209, -0.2659912, 0.9891357)', 'Roll': '11.78777', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '14.74805'}
2022-06-27 12:21:50: {'Acceleration': '(-0.1480713, -0.21521, 0.9063721)', 'Roll': '9.278277', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '13.18842'}
2022-06-27 12:21:51: {'Acceleration': '(-0.1585693, -0.2679443, 1.050781)', 'Roll': '8.581533', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '14.15162'}
2022-06-27 12:21:52: {'Acceleration': '(-0.2399902, -0.2513428, 0.9381104)', 'Roll': '14.12568', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '14.178'}
2022-06-27 12:21:52: {'Acceleration': '(-0.260498, -0.2821045, 0.7615967)', 'Roll': '18.88284', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '14.953'}
2022-06-27 12:21:53: {'Acceleration': '(-0.2792969, -0.2717285, 0.9405518)', 'Roll': '17.14504', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '15.96638'}
2022-06-27 12:21:54: {'Acceleration': '(-0.2878418, -0.2515869, 0.9812012)', 'Roll': '14.56842', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '12.23682'}
2022-06-27 12:21:55: {'Acceleration': '(-0.2767334, -0.2813721, 0.9561768)', 'Roll': '16.14132', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '17.0347'}
2022-06-27 12:21:56: {'Acceleration': '(-0.2781982, -0.4689941, 0.6256104)', 'Roll': '23.9739', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '20.05864'}
