Testing SD card write operations: 2022-04-30 12:30:54
2022-04-30 12:31:34: {'ssid':'MULTIPASS', 'bssid':b'\xec\x10{?\xf9\xf2', 'sec':3, 'channel':1, 'rssi':-88}
2022-04-30 12:31:34: {'ssid':'Bbox-22B1AF0B', 'bssid':b'{\x9e\xfc\xe4\xb0\x10', 'sec':4, 'channel':1, 'rssi':-96}
2022-04-30 12:31:36: {'ssid':'iPhone', 'bssid':b'~\xd4\x9eM\x18\xbe', 'sec':3, 'channel':6, 'rssi':-37}
2022-04-30 12:31:36: {'ssid':'SFR_D778', 'bssid':b'la\xf4\t\xd7~', 'sec':4, 'channel':1, 'rssi':-53}
2022-04-30 12:31:36: {'ssid':'SFR WiFi Mobile', 'bssid':b'r-\x1bz\x84\x85', 'sec':5, 'channel':6, 'rssi':-81}
2022-04-30 12:31:36: {'ssid':'SFR_8480', 'bssid':b'\xcc-\x1bz\x84\x86', 'sec':4, 'channel':6, 'rssi':-81}
2022-04-30 12:31:36: {'ssid':'SFR WiFi FON', 'bssid':b'r-\x1bz\x84\x87', 'sec':0, 'channel':6, 'rssi':-81}
2022-04-30 12:31:36: {'ssid':'Livebox-A82B', 'bssid':b'`\xce\x86g\xe4\x88', 'sec':4, 'channel':11, 'rssi':-91}
2022-04-30 12:31:38: {'ssid':'iPhone', 'bssid':b'~\xd4\x9eM\x18\xbe', 'sec':3, 'channel':6, 'rssi':-35}
2022-04-30 12:31:38: {'ssid':'SFR_D778', 'bssid':b'la\xf4\t\xd7~', 'sec':4, 'channel':1, 'rssi':-50}
2022-04-30 12:31:38: {'ssid':'MULTIPASS', 'bssid':b'\xec\x10{?\xf9\xf2', 'sec':3, 'channel':1, 'rssi':-84}
2022-04-30 12:31:38: {'ssid':'Livebox-A82B', 'bssid':b'`\xce\x86g\xe4\x88', 'sec':4, 'channel':11, 'rssi':-92}
2022-04-30 12:31:39: {'ssid':'iPhone', 'bssid':b'~\xd4\x9eM\x18\xbe', 'sec':3, 'channel':6, 'rssi':-37}
2022-04-30 12:31:39: {'ssid':'Livebox-A82B', 'bssid':b'`\xce\x86g\xe4\x88', 'sec':4, 'channel':11, 'rssi':-83}
