Testing SD card write operations: 2022-07-07 18:45:07
2022-07-07 18:46:49: {'Acceleration': '(-0.5345459, -0.2130127, 0.8338623)', 'Roll': '32.25482', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '12.52683'}
2022-07-07 18:46:50: {'Acceleration': '(-0.550415, -0.2325439, 0.8371582)', 'Roll': '33.32413', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '13.06723'}
2022-07-07 18:46:50: {'Acceleration': '(-0.5413818, -0.2141113, 0.838623)', 'Roll': '32.77641', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '11.92437'}
2022-07-07 18:46:51: {'Acceleration': '(-0.5344238, -0.2272949, 0.8475342)', 'Roll': '32.23402', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '12.78125'}
2022-07-07 18:46:52: {'Acceleration': '(-0.5351563, -0.2193604, 0.847168)', 'Roll': '32.28061', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '12.34803'}
2022-07-07 18:46:53: {'Acceleration': '(-0.5369873, -0.2116699, 0.8414307)', 'Roll': '32.7222', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '11.93622'}
2022-07-07 18:46:54: {'Acceleration': '(-0.5367432, -0.2211914, 0.8431396)', 'Roll': '32.48085', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '12.47869'}
2022-07-07 18:46:55: {'Acceleration': '(-0.5355225, -0.21521, 0.8389893)', 'Roll': '32.73901', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '12.17562'}
2022-07-07 18:46:56: {'Acceleration': '(-0.5350342, -0.2160645, 0.8421631)', 'Roll': '32.42818', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '12.21886'}
2022-07-07 18:46:57: {'Acceleration': '(-0.5429688, -0.213501, 0.8372803)', 'Roll': '32.96304', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '12.12464'}
2022-07-07 18:46:57: {'Acceleration': '(-0.5739746, -0.1942139, 0.7972412)', 'Roll': '35.75204', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '11.18318'}
