Testing SD card write operations: 2022-07-07 18:45:01
2022-07-07 18:45:33: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '8e9ef51054be055485374776cbf82d11939dcb73f090978824ee6f2252d24825', 'rssi': -49, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 18:45:33: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd503f08e223433edd4b95ee4509c9869f4553313fe8324807dc80ec1ae5aebfa', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 18:45:34: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '13e3e009320469d6c8ccbf70f7c14f7b812353a663d2bd6a9db27f5d076d78d3', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 18:45:35: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd503f08e223433edd4b95ee4509c9869f4553313fe8324807dc80ec1ae5aebfa', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 18:45:36: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'de72a8b604f5689cabc38ce6032567d62b22bbfcd35e1726dfffa2ef807fcb4c', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 18:45:37: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1efab68142dfbe9da970609820a34d5a281675f06b1e8a31e27812a97b7f3b95', 'rssi': -66, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 18:45:37: {'adv_flag': 2, 'def_tx_pwr': 3, 'mac': '4f4c9c69ad9ff2a329208d2a2b83027f6095b68394385d1a8072d55a17dcdb42', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 18:45:38: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1efab68142dfbe9da970609820a34d5a281675f06b1e8a31e27812a97b7f3b95', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 18:45:39: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '64f05217d47c86bde6b4a48b43d3ea80572c35e3ce092d36d83b856e9434b982', 'rssi': -95, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 18:45:40: {'adv_flag': 2, 'def_tx_pwr': 3, 'mac': '4f6f2ce7401ca16ac85737a4b4074aedbd164b800dbeb504929b91a72e943d87', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': -20, 'adv_tx_pwr': 3}
