Testing SD card write operations: 2022-07-07 18:45:01
2022-07-07 18:47:26: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-32}
2022-07-07 18:47:26: {'ssid':'B71', 'bssid':'b9f879d0b18705803765f722696431a091fed0cc280d13eded0a4cd3ca713e31', 'sec':3, 'channel':11, 'rssi':-48}
2022-07-07 18:47:27: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-30}
2022-07-07 18:47:27: {'ssid':'B71', 'bssid':'b9f879d0b18705803765f722696431a091fed0cc280d13eded0a4cd3ca713e31', 'sec':3, 'channel':11, 'rssi':-53}
2022-07-07 18:47:29: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-32}
2022-07-07 18:47:29: {'ssid':'B71', 'bssid':'b9f879d0b18705803765f722696431a091fed0cc280d13eded0a4cd3ca713e31', 'sec':3, 'channel':11, 'rssi':-47}
2022-07-07 18:47:31: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-31}
2022-07-07 18:47:31: {'ssid':'B71', 'bssid':'b9f879d0b18705803765f722696431a091fed0cc280d13eded0a4cd3ca713e31', 'sec':3, 'channel':11, 'rssi':-49}
2022-07-07 18:47:31: {'ssid':'B710', 'bssid':'67f26f0f106bd7b65fe2da2bf5fc51125854bfa29697156e19f568f7a49f5cc6', 'sec':3, 'channel':1, 'rssi':-91}
2022-07-07 18:47:33: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-28}
2022-07-07 18:47:33: {'ssid':'B71', 'bssid':'b9f879d0b18705803765f722696431a091fed0cc280d13eded0a4cd3ca713e31', 'sec':3, 'channel':11, 'rssi':-49}
2022-07-07 18:47:33: {'ssid':'B75', 'bssid':'7894d43700f1f09de9b6e66060c9efe08aaaed479ee6b54f1b3b6a2f8b3397f2', 'sec':5, 'channel':11, 'rssi':-93}
2022-07-07 18:47:35: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-31}
2022-07-07 18:47:35: {'ssid':'B71', 'bssid':'b9f879d0b18705803765f722696431a091fed0cc280d13eded0a4cd3ca713e31', 'sec':3, 'channel':11, 'rssi':-41}
2022-07-07 18:47:37: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-29}
2022-07-07 18:47:39: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-30}
2022-07-07 18:47:39: {'ssid':'B71', 'bssid':'b9f879d0b18705803765f722696431a091fed0cc280d13eded0a4cd3ca713e31', 'sec':3, 'channel':11, 'rssi':-45}
2022-07-07 18:47:39: {'ssid':'B76', 'bssid':'db600f96af583efbd722790a4772fc5bd3cda94e5baef6d96fbf6ba760cb4813', 'sec':5, 'channel':11, 'rssi':-81}
2022-07-07 18:47:39: {'ssid':'B75', 'bssid':'ddf8636896cb2821d509e5d5d6829c8e7f47e07dc52e67890506de1731e16c6e', 'sec':5, 'channel':11, 'rssi':-94}
2022-07-07 18:47:41: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-29}
2022-07-07 18:47:41: {'ssid':'B71', 'bssid':'b9f879d0b18705803765f722696431a091fed0cc280d13eded0a4cd3ca713e31', 'sec':3, 'channel':11, 'rssi':-45}
2022-07-07 18:47:43: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-29}
2022-07-07 18:47:43: {'ssid':'B71', 'bssid':'b9f879d0b18705803765f722696431a091fed0cc280d13eded0a4cd3ca713e31', 'sec':3, 'channel':11, 'rssi':-48}
2022-07-07 18:47:43: {'ssid':'B76', 'bssid':'79b142d41ab34f34dad740d224b048f3e93d3c03c1f215a8f45ae0f5687a6c97', 'sec':5, 'channel':11, 'rssi':-93}
2022-07-07 18:47:44: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-21}
2022-07-07 18:47:44: {'ssid':'B711', 'bssid':'eafed2c60a3e0589380195cabe9ab0f207d624e5ee01e44cf1ca7a4dea78b23d', 'sec':4, 'channel':11, 'rssi':-89}
2022-07-07 18:47:46: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-27}
2022-07-07 18:47:46: {'ssid':'B71', 'bssid':'b9f879d0b18705803765f722696431a091fed0cc280d13eded0a4cd3ca713e31', 'sec':3, 'channel':11, 'rssi':-49}
2022-07-07 18:47:46: {'ssid':'B712', 'bssid':'9b256df91ee99d8b35bbe98fc69eaf31d6730b02b5b1bf6f06f05c711062e230', 'sec':4, 'channel':6, 'rssi':-96}
2022-07-07 18:47:46: {'ssid':'B713', 'bssid':'26a0141dd21073225c88ca4e36df7c61bc2a0bb7f0c17d9fbd211c84d870588a', 'sec':3, 'channel':11, 'rssi':-96}
2022-07-07 18:47:48: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-29}
2022-07-07 18:47:48: {'ssid':'B71', 'bssid':'b9f879d0b18705803765f722696431a091fed0cc280d13eded0a4cd3ca713e31', 'sec':3, 'channel':11, 'rssi':-49}
2022-07-07 18:47:50: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-31}
2022-07-07 18:47:50: {'ssid':'B71', 'bssid':'b9f879d0b18705803765f722696431a091fed0cc280d13eded0a4cd3ca713e31', 'sec':3, 'channel':11, 'rssi':-50}
2022-07-07 18:47:52: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-32}
