Testing SD card write operations: 2022-07-01 13:02:45
2022-07-01 13:03:13: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'794d41893af5', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:03:14: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': b'b4c26a5bf475', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:03:15: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': b'b4c26a5bf475', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:03:15: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7c44358a325d', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:03:16: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7c44358a325d', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:03:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7c44358a325d', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:03:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'794d41893af5', 'rssi': -57, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:03:19: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'fb018482a346', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:03:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7c44358a325d', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:03:20: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7c44358a325d', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:03:21: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'794d41893af5', 'rssi': -57, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:03:22: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7c44358a325d', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:03:23: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': b'b4c26a5bf475', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:03:23: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7c44358a325d', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:03:24: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7c44358a325d', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:03:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7c44358a325d', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:03:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7c44358a325d', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:03:27: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7c44358a325d', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:03:27: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7c44358a325d', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:03:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7c44358a325d', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:03:29: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7c44358a325d', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:03:30: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': b'b4c26a5bf475', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:03:31: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': b'b4c26a5bf475', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:03:31: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': b'b4c26a5bf475', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:03:32: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': b'b4c26a5bf475', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:03:33: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7c44358a325d', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:03:34: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': b'b4c26a5bf475', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:03:35: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'7ef42092c725', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:03:35: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'fc92bcc3432f', 'rssi': -55, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:03:36: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': b'b4c26a5bf475', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
