Testing SD card write operations: 2022-07-01 13:03:13
2022-07-01 13:04:02: {'Acceleration': '(-0.5788574, -0.1280518, 0.5751953)', 'Roll': '45.18181', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '7.794094'}
2022-07-01 13:04:03: {'Acceleration': '(-0.7408447, -0.5438232, 0.9786377)', 'Roll': '33.16993', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '22.71897'}
2022-07-01 13:04:04: {'Acceleration': '(-0.1734619, -0.1257324, 0.6014404)', 'Roll': '16.08813', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '12.60624'}
2022-07-01 13:04:05: {'Acceleration': '(-0.5559082, -0.1142578, 0.7106934)', 'Roll': '42.03794', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '1.366681'}
2022-07-01 13:04:06: {'Acceleration': '(-0.3342285, 0.07543945, 0.7303467)', 'Roll': '24.59025', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-5.191925'}
2022-07-01 13:04:06: {'Acceleration': '(-0.4525146, 0.01928711, 0.9611816)', 'Roll': '25.21059', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-1.040074'}
2022-07-01 13:04:07: {'Acceleration': '(-0.7562256, -0.4256592, 0.7919922)', 'Roll': '43.6766', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '21.24175'}
2022-07-01 13:04:08: {'Acceleration': '(-0.3947754, 0.2994385, 0.9458008)', 'Roll': '22.65556', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-16.28668'}
2022-07-01 13:04:09: {'Acceleration': '(-1.148682, -0.5006104, 0.6630859)', 'Roll': '54.0382', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '14.81768'}
2022-07-01 13:04:10: {'Acceleration': '(-0.4298096, -0.1445313, 0.5661621)', 'Roll': '37.20444', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '11.49317'}
2022-07-01 13:04:11: {'Acceleration': '(-0.6435547, -0.1999512, 1.135742)', 'Roll': '28.28043', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '10.75612'}
2022-07-01 13:04:12: {'Acceleration': '(-0.2733154, -0.04541016, 0.7598877)', 'Roll': '21.62132', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '6.249784'}
2022-07-01 13:04:12: {'Acceleration': '(-1.211304, -0.8867188, 0.8063965)', 'Roll': '51.92988', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '34.13904'}
2022-07-01 13:04:13: {'Acceleration': '(-0.5936279, -0.1032715, 0.9659424)', 'Roll': '35.0815', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '11.55253'}
