Testing SD card write operations: 2022-07-01 13:02:44
2022-07-01 13:03:11: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-38}
2022-07-01 13:03:11: {'ssid':'P51', 'bssid':'d763505c5bd96209707e23aa15b8dd035019cabb4a0fe279c055d31e', 'sec':3, 'channel':6, 'rssi':-72}
2022-07-01 13:03:11: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-73}
2022-07-01 13:03:13: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-40}
2022-07-01 13:03:13: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-67}
2022-07-01 13:03:13: {'ssid':'P51', 'bssid':'d763505c5bd96209707e23aa15b8dd035019cabb4a0fe279c055d31e', 'sec':3, 'channel':6, 'rssi':-71}
2022-07-01 13:03:13: {'ssid':'P51', 'bssid':'be8d41f87483096eda0bfd7fc58a3f906587b0883e46e2df03c67ed9', 'sec':3, 'channel':1, 'rssi':-93}
2022-07-01 13:03:14: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-39}
2022-07-01 13:03:14: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-67}
2022-07-01 13:03:14: {'ssid':'P51', 'bssid':'d763505c5bd96209707e23aa15b8dd035019cabb4a0fe279c055d31e', 'sec':3, 'channel':6, 'rssi':-75}
2022-07-01 13:03:16: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-38}
2022-07-01 13:03:16: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-67}
2022-07-01 13:03:16: {'ssid':'P51', 'bssid':'d763505c5bd96209707e23aa15b8dd035019cabb4a0fe279c055d31e', 'sec':3, 'channel':6, 'rssi':-71}
2022-07-01 13:03:18: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-39}
2022-07-01 13:03:18: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-65}
2022-07-01 13:03:18: {'ssid':'P51', 'bssid':'d763505c5bd96209707e23aa15b8dd035019cabb4a0fe279c055d31e', 'sec':3, 'channel':6, 'rssi':-74}
2022-07-01 13:03:18: {'ssid':'P51', 'bssid':'7ea85b9e8e14227aa4c4b1d10d5bd339835a78fddfaadf39e79a4371', 'sec':3, 'channel':11, 'rssi':-91}
2022-07-01 13:03:20: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-35}
2022-07-01 13:03:20: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-65}
2022-07-01 13:03:20: {'ssid':'P51', 'bssid':'d763505c5bd96209707e23aa15b8dd035019cabb4a0fe279c055d31e', 'sec':3, 'channel':6, 'rssi':-74}
2022-07-01 13:03:20: {'ssid':'P51', 'bssid':'08800c63be5f78aa966f1ffc13d99701af7c1acb529c799b43992da2', 'sec':3, 'channel':1, 'rssi':-85}
2022-07-01 13:03:22: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-35}
2022-07-01 13:03:22: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-70}
2022-07-01 13:03:22: {'ssid':'P51', 'bssid':'d763505c5bd96209707e23aa15b8dd035019cabb4a0fe279c055d31e', 'sec':3, 'channel':6, 'rssi':-71}
2022-07-01 13:03:22: {'ssid':'P51', 'bssid':'08800c63be5f78aa966f1ffc13d99701af7c1acb529c799b43992da2', 'sec':3, 'channel':1, 'rssi':-85}
2022-07-01 13:03:22: {'ssid':'P51', 'bssid':'92b8399fbc7e7bdf911c6daf611234422fc48b4cd02d3de778ab8509', 'sec':3, 'channel':1, 'rssi':-93}
2022-07-01 13:03:22: {'ssid':'P51', 'bssid':'3907bc36de0613f292d31910d024c67648d43a9cbcf853f7c058ecd3', 'sec':3, 'channel':11, 'rssi':-95}
2022-07-01 13:03:24: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-36}
2022-07-01 13:03:24: {'ssid':'P51', 'bssid':'d763505c5bd96209707e23aa15b8dd035019cabb4a0fe279c055d31e', 'sec':3, 'channel':6, 'rssi':-66}
2022-07-01 13:03:24: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-70}
2022-07-01 13:03:26: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-34}
2022-07-01 13:03:26: {'ssid':'P51', 'bssid':'d763505c5bd96209707e23aa15b8dd035019cabb4a0fe279c055d31e', 'sec':3, 'channel':6, 'rssi':-66}
2022-07-01 13:03:26: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-74}
2022-07-01 13:03:26: {'ssid':'P53', 'bssid':'de71fbc485849bef79d6b0d94f9f3898acc013a3156eb77dcd529c6e', 'sec':0, 'channel':8, 'rssi':-83}
2022-07-01 13:03:26: {'ssid':'P51', 'bssid':'08800c63be5f78aa966f1ffc13d99701af7c1acb529c799b43992da2', 'sec':3, 'channel':1, 'rssi':-86}
2022-07-01 13:03:28: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-34}
2022-07-01 13:03:28: {'ssid':'P51', 'bssid':'d763505c5bd96209707e23aa15b8dd035019cabb4a0fe279c055d31e', 'sec':3, 'channel':6, 'rssi':-67}
2022-07-01 13:03:28: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-79}
2022-07-01 13:03:28: {'ssid':'P53', 'bssid':'de71fbc485849bef79d6b0d94f9f3898acc013a3156eb77dcd529c6e', 'sec':0, 'channel':8, 'rssi':-85}
2022-07-01 13:03:28: {'ssid':'P51', 'bssid':'08800c63be5f78aa966f1ffc13d99701af7c1acb529c799b43992da2', 'sec':3, 'channel':1, 'rssi':-87}
2022-07-01 13:03:30: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-37}
