Testing SD card write operations: 2022-05-21 10:26:42
2022-05-21 10:26:52: {'ssid':'P67', 'bssid':'b64233ae6aae1d541f538a9cdfaa0eceb940981bbecf2e88c2c9bf01c96e0a55', 'sec':0, 'channel':13, 'rssi':-87}
2022-05-21 10:26:52: {'ssid':'P67', 'bssid':'ae75e4780819d66c13c5204e6736e973104942adc807efa62738f46d02ba69eb', 'sec':0, 'channel':5, 'rssi':-88}
2022-05-21 10:26:52: {'ssid':'P66', 'bssid':'6098916209ce8b8bb63c60422423b0f4312f55791edabb2ba3f07b35969fa7e1', 'sec':3, 'channel':5, 'rssi':-88}
2022-05-21 10:26:52: {'ssid':'P68', 'bssid':'6e6467c31734e636bbbecb9e5d605391d29fa4ded882bdf91fbfdbc4896de2d3', 'sec':3, 'channel':5, 'rssi':-88}
2022-05-21 10:26:52: {'ssid':'P69', 'bssid':'ca0900b2840c4f2b81567280f76332e1ba422bdaa912724d052018206cda9020', 'sec':5, 'channel':5, 'rssi':-88}
2022-05-21 10:26:52: {'ssid':'P63', 'bssid':'a19096e2fddfe105b302b37054bc39175de238eca5c303861dd3aa02951564e2', 'sec':3, 'channel':5, 'rssi':-88}
2022-05-21 10:26:52: {'ssid':'P67', 'bssid':'d5a81a3a3a5a00e9ed5db5cf893387162ab444dcc6ac8e153a50b5b6b649f06a', 'sec':0, 'channel':13, 'rssi':-89}
2022-05-21 10:26:52: {'ssid':'P66', 'bssid':'6f5a22f5ca83c31bf9ce5099a20e2b485226da0c9da782757308aea86c020c26', 'sec':3, 'channel':13, 'rssi':-91}
2022-05-21 10:26:52: {'ssid':'P617', 'bssid':'0f47ca43be55cc4fc33b6b951f145852c655917e67b80a797102eb4762be3f4c', 'sec':3, 'channel':11, 'rssi':-96}
2022-05-21 10:26:54: {'ssid':'P60', 'bssid':'62bcc1ff7a123a2b1432f3f8b08fbcfa3c0696ea037b38442444be8b3e2bc357', 'sec':3, 'channel':6, 'rssi':-45}
2022-05-21 10:26:54: {'ssid':'P61', 'bssid':'7994e1d55e270023b1edd16e8675b8d5e5119c564d78cc2df6d90de2db9014d8', 'sec':0, 'channel':9, 'rssi':-67}
