Testing SD card write operations: 2022-05-21 10:26:43
2022-05-21 10:27:17: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': b'5cf821ffe28b', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'769c4656ee03', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-21 10:27:19: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': b'5cf821ffdf7c', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:20: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'33b2059fc293', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:20: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'6aa2fc2a017b', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:21: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1b6030c70774', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:22: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'6aa2fc2a017b', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:23: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'33b2059fc293', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:23: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1b6030c70774', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:24: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'52f0631fa2b6', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-21 10:27:25: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1b6030c70774', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
