Testing SD card write operations: 2022-05-28 08:38:08
2022-05-28 08:38:50: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'3868a46b1cf8', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-28 08:38:50: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'3868a46b1cf8', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-28 08:38:51: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'457e001e6d04', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-28 08:38:52: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'3868a46b1cf8', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-28 08:38:53: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'3868a46b1cf8', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-28 08:38:54: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'085c2538786e', 'rssi': -95, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-28 08:38:54: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'3868a46b1cf8', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-28 08:38:55: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'085c2538786e', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-28 08:38:56: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'3868a46b1cf8', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-28 08:38:57: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'3868a46b1cf8', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-28 08:38:58: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'085c2538786e', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-28 08:38:58: {'adv_flag': 5, 'def_tx_pwr': 3, 'mac': b'a4c13825dbd5', 'rssi': -86, 'name': 'ihoment_H6181_DBD5', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
