Testing SD card write operations: 2022-06-25 14:23:00
2022-06-25 14:23:37: {'adv_flag': 2, 'def_tx_pwr': 3, 'mac': '1891ae7cab427b5b4947569d37104e18930217b00d433ff933408a1c4706c79e', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:23:38: {'adv_flag': 2, 'def_tx_pwr': 3, 'mac': '1891ae7cab427b5b4947569d37104e18930217b00d433ff933408a1c4706c79e', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:23:38: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e1b5a6ed3c8f2b33d3024ab64bab4fb4bc08c25166fdbeee2155c13073f51888', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 14:23:39: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9ebce1d3aefb6f99180f42a978becc2afbe0fde9769b5df04b772b13a5f4ba51', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-06-25 14:23:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9ebce1d3aefb6f99180f42a978becc2afbe0fde9769b5df04b772b13a5f4ba51', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-06-25 14:23:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '7b0e244396b4f4e7809c280405471d0d4c784a6db03c2ebb1a24776a95f7d073', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:23:42: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '7b0e244396b4f4e7809c280405471d0d4c784a6db03c2ebb1a24776a95f7d073', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:23:42: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '7b0e244396b4f4e7809c280405471d0d4c784a6db03c2ebb1a24776a95f7d073', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:23:43: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd5b0e05ae7ad732317b93c85b00eeb9dd8029239708f52447f4932c7fd587407', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-25 14:23:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '7b0e244396b4f4e7809c280405471d0d4c784a6db03c2ebb1a24776a95f7d073', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
