Testing SD card write operations: 2022-07-08 08:57:37
2022-07-08 08:58:05: {'ssid':'ups', 'bssid':b'\xfc\n\x81\xbd\xa0\xb1', 'sec':0, 'channel':6, 'rssi':-72}
2022-07-08 08:58:05: {'ssid':'Asot', 'bssid':b'n\xc7\xec\x94>\xa6', 'sec':3, 'channel':11, 'rssi':-77}
2022-07-08 08:58:05: {'ssid':'AndroidAPEEB8', 'bssid':b'\xba\xd7\xaf\x97\xee\xb8', 'sec':3, 'channel':11, 'rssi':-91}
2022-07-08 08:58:07: {'ssid':'iPhone', 'bssid':b'\x06\xaf\x8d\x99\xdd\x15', 'sec':3, 'channel':6, 'rssi':-43}
2022-07-08 08:58:07: {'ssid':'eduroam', 'bssid':b'\xfc\n\x81\xbd\xa0\xb0', 'sec':5, 'channel':6, 'rssi':-65}
2022-07-08 08:58:07: {'ssid':'eduroam', 'bssid':b'\xfc\n\x81\xbd\xc7P', 'sec':5, 'channel':1, 'rssi':-72}
2022-07-08 08:58:07: {'ssid':'ups', 'bssid':b'\xfc\n\x81\xbd\xc7Q', 'sec':0, 'channel':1, 'rssi':-73}
2022-07-08 08:58:07: {'ssid':'ups', 'bssid':b'\xfc\n\x81\xbd\xa0\xb1', 'sec':0, 'channel':6, 'rssi':-73}
2022-07-08 08:58:07: {'ssid':'Asot', 'bssid':b'n\xc7\xec\x94>\xa6', 'sec':3, 'channel':11, 'rssi':-75}
2022-07-08 08:58:09: {'ssid':'iPhone', 'bssid':b'\x06\xaf\x8d\x99\xdd\x15', 'sec':3, 'channel':6, 'rssi':-45}
2022-07-08 08:58:09: {'ssid':'eduroam', 'bssid':b'\xfc\n\x81\xbd\xc7P', 'sec':5, 'channel':1, 'rssi':-67}
2022-07-08 08:58:09: {'ssid':'ups', 'bssid':b'\xfc\n\x81\xbd\xc7Q', 'sec':0, 'channel':1, 'rssi':-69}
2022-07-08 08:58:09: {'ssid':'Asot', 'bssid':b'n\xc7\xec\x94>\xa6', 'sec':3, 'channel':11, 'rssi':-73}
2022-07-08 08:58:09: {'ssid':'ups', 'bssid':b'\xfc\n\x81\xbfE\xa1', 'sec':0, 'channel':1, 'rssi':-94}
2022-07-08 08:58:11: {'ssid':'iPhone', 'bssid':b'\x06\xaf\x8d\x99\xdd\x15', 'sec':3, 'channel':6, 'rssi':-48}
2022-07-08 08:58:11: {'ssid':'eduroam', 'bssid':b'\xfc\n\x81\xbd\xa0\xb0', 'sec':5, 'channel':6, 'rssi':-65}
2022-07-08 08:58:11: {'ssid':'eduroam', 'bssid':b'\xfc\n\x81\xbd\xc7P', 'sec':5, 'channel':1, 'rssi':-67}
2022-07-08 08:58:11: {'ssid':'ups', 'bssid':b'\xfc\n\x81\xbd\xc7Q', 'sec':0, 'channel':1, 'rssi':-70}
2022-07-08 08:58:11: {'ssid':'ups', 'bssid':b'\xfc\n\x81\xbd\xa0\xb1', 'sec':0, 'channel':6, 'rssi':-72}
2022-07-08 08:58:11: {'ssid':'Asot', 'bssid':b'n\xc7\xec\x94>\xa6', 'sec':3, 'channel':11, 'rssi':-78}
2022-07-08 08:58:11: {'ssid':'ups', 'bssid':b'\xfc\n\x81\xbfE\xa1', 'sec':0, 'channel':1, 'rssi':-94}
2022-07-08 08:58:13: {'ssid':'iPhone', 'bssid':b'\x06\xaf\x8d\x99\xdd\x15', 'sec':3, 'channel':6, 'rssi':-46}
2022-07-08 08:58:13: {'ssid':'eduroam', 'bssid':b'\xfc\n\x81\xbd\xa0\xb0', 'sec':5, 'channel':6, 'rssi':-64}
2022-07-08 08:58:13: {'ssid':'eduroam', 'bssid':b'\xfc\n\x81\xbd\xc7P', 'sec':5, 'channel':1, 'rssi':-66}
2022-07-08 08:58:13: {'ssid':'ups', 'bssid':b'\xfc\n\x81\xbd\xc7Q', 'sec':0, 'channel':1, 'rssi':-69}
2022-07-08 08:58:13: {'ssid':'ups', 'bssid':b'\xfc\n\x81\xbd\xa0\xb1', 'sec':0, 'channel':6, 'rssi':-71}
2022-07-08 08:58:15: {'ssid':'iPhone', 'bssid':b'\x06\xaf\x8d\x99\xdd\x15', 'sec':3, 'channel':6, 'rssi':-49}
2022-07-08 08:58:15: {'ssid':'eduroam', 'bssid':b'\xfc\n\x81\xbd\xc7P', 'sec':5, 'channel':1, 'rssi':-65}
2022-07-08 08:58:15: {'ssid':'ups', 'bssid':b'\xfc\n\x81\xbd\xc7Q', 'sec':0, 'channel':1, 'rssi':-67}
2022-07-08 08:58:15: {'ssid':'eduroam', 'bssid':b'\xfc\n\x81\xbd\xa0\xb0', 'sec':5, 'channel':6, 'rssi':-72}
2022-07-08 08:58:15: {'ssid':'Asot', 'bssid':b'n\xc7\xec\x94>\xa6', 'sec':3, 'channel':11, 'rssi':-75}
2022-07-08 08:58:15: {'ssid':'eduroam', 'bssid':b'\xfc\n\x81%\x82\x90', 'sec':5, 'channel':6, 'rssi':-95}
2022-07-08 08:58:17: {'ssid':'iPhone', 'bssid':b'\x06\xaf\x8d\x99\xdd\x15', 'sec':3, 'channel':6, 'rssi':-46}
2022-07-08 08:58:17: {'ssid':'eduroam', 'bssid':b'\xfc\n\x81\xbd\xa0\xb0', 'sec':5, 'channel':6, 'rssi':-65}
2022-07-08 08:58:17: {'ssid':'eduroam', 'bssid':b'\xfc\n\x81\xbd\xc7P', 'sec':5, 'channel':1, 'rssi':-66}
2022-07-08 08:58:17: {'ssid':'ups', 'bssid':b'\xfc\n\x81\xbd\xc7Q', 'sec':0, 'channel':1, 'rssi':-67}
2022-07-08 08:58:17: {'ssid':'ups', 'bssid':b'\xfc\n\x81\xbd\xa0\xb1', 'sec':0, 'channel':6, 'rssi':-72}
2022-07-08 08:58:17: {'ssid':'Asot', 'bssid':b'n\xc7\xec\x94>\xa6', 'sec':3, 'channel':11, 'rssi':-76}
2022-07-08 08:58:17: {'ssid':'eduroam', 'bssid':b'\xfc\n\x81\xbfE\xa0', 'sec':5, 'channel':1, 'rssi':-95}
2022-07-08 08:58:19: {'ssid':'iPhone', 'bssid':b'\x06\xaf\x8d\x99\xdd\x15', 'sec':3, 'channel':6, 'rssi':-48}
2022-07-08 08:58:19: {'ssid':'eduroam', 'bssid':b'\xfc\n\x81\xbd\xc7P', 'sec':5, 'channel':1, 'rssi':-66}
2022-07-08 08:58:19: {'ssid':'ups', 'bssid':b'\xfc\n\x81\xbd\xc7Q', 'sec':0, 'channel':1, 'rssi':-68}
2022-07-08 08:58:19: {'ssid':'ups', 'bssid':b'\xfc\n\x81\xbd\xa0\xb1', 'sec':0, 'channel':6, 'rssi':-73}
2022-07-08 08:58:19: {'ssid':'Asot', 'bssid':b'n\xc7\xec\x94>\xa6', 'sec':3, 'channel':11, 'rssi':-74}
