Testing SD card write operations: 2022-07-08 08:57:37
2022-07-08 08:58:22: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'7d2352422712', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 08:58:23: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:58:23: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:58:24: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:58:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:58:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'6db0263966d7', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 08:58:27: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:58:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:58:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:58:29: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:58:30: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7a8cf3a1efca', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 5, 'adv_tx_pwr': 3}
2022-07-08 08:58:31: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'0e7f5e0e66e8', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 08:58:32: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7a8cf3a1efca', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 5, 'adv_tx_pwr': 3}
2022-07-08 08:58:32: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'0e7f5e0e66e8', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 08:58:33: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:58:34: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:58:35: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:58:36: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'559fd5127032', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-08 08:58:36: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:58:37: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:58:38: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:58:39: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:58:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'5217d473e4f3', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-08 08:58:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:58:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:58:42: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'6f58af65208b', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 08:58:43: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'6db0263966d7', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 08:58:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:58:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:58:45: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'10df4d75b822', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 08:58:46: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'10df4d75b822', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 08:58:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:58:48: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:58:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'0e3c6c68ec79', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 08:58:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:58:50: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:58:51: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'559fd5127032', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-08 08:58:52: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:58:53: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'10df4d75b822', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 08:58:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:58:54: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'0e7f5e0e66e8', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 08:58:55: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'0e3c6c68ec79', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 08:58:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:58:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-07-08 08:58:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'3050754e547f', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
