Testing SD card write operations: 2022-06-27 09:35:23
2022-06-27 09:36:39: {'Acceleration': '(-0.08935547, -0.1369629, 0.9818115)', 'Roll': '5.200209', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '7.909249'}
2022-06-27 09:36:40: {'Acceleration': '(-0.0670166, -0.135498, 0.9696045)', 'Roll': '4.01128', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '7.936079'}
2022-06-27 09:36:41: {'Acceleration': '(-0.08605957, -0.1446533, 1.007324)', 'Roll': '4.88314', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '8.142634'}
2022-06-27 09:36:42: {'Acceleration': '(-0.08569336, -0.1337891, 0.9875488)', 'Roll': '4.491415', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '7.97251'}
2022-06-27 09:36:42: {'Acceleration': '(-0.08691406, -0.1444092, 0.9969482)', 'Roll': '4.712404', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '7.900986'}
2022-06-27 09:36:43: {'Acceleration': '(-0.09460449, -0.1450195, 0.9929199)', 'Roll': '5.442658', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '8.272559'}
2022-06-27 09:36:44: {'Acceleration': '(-0.07641602, -0.1400146, 0.9968262)', 'Roll': '4.383682', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '7.972394'}
2022-06-27 09:36:45: {'Acceleration': '(-0.08666992, -0.1390381, 0.9954834)', 'Roll': '4.905104', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '6.962252'}
2022-06-27 09:36:46: {'Acceleration': '(-0.08251953, -0.1318359, 1.003418)', 'Roll': '4.694412', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '7.937766'}
2022-06-27 09:36:47: {'Acceleration': '(-0.07763672, -0.1499023, 1.008667)', 'Roll': '4.546586', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '7.487994'}
2022-06-27 09:36:48: {'Acceleration': '(-0.08093262, -0.1385498, 1.011475)', 'Roll': '4.772957', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '8.030609'}
2022-06-27 09:36:48: {'Acceleration': '(-0.1020508, -0.1303711, 0.9776611)', 'Roll': '5.9591', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '7.944268'}
2022-06-27 09:36:49: {'Acceleration': '(-0.08117676, -0.1618652, 1.066162)', 'Roll': '4.354055', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '8.608208'}
2022-06-27 09:36:50: {'Acceleration': '(-0.07580566, -0.1520996, 1.02771)', 'Roll': '4.218596', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '8.396099'}
2022-06-27 09:36:51: {'Acceleration': '(-0.09240723, -0.133667, 0.996582)', 'Roll': '5.033029', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '8.062949'}
2022-06-27 09:36:52: {'Acceleration': '(-0.08044434, -0.1138916, 0.9758301)', 'Roll': '4.647228', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '7.335019'}
2022-06-27 09:36:53: {'Acceleration': '(-0.08215332, -0.1398926, 1.005249)', 'Roll': '5.551223', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '7.722291'}
2022-06-27 09:36:54: {'Acceleration': '(-0.078125, -0.145874, 1.012329)', 'Roll': '4.41297', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '7.730431'}
