Testing SD card write operations: 2022-06-27 09:35:17
2022-06-27 09:35:54: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '52f92b142a3676a19b15afa39da4297726bfd73b9e035bc3e029a55f0d93d2b0', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-27 09:35:55: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '52f92b142a3676a19b15afa39da4297726bfd73b9e035bc3e029a55f0d93d2b0', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-27 09:35:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b517fffb6c9ebb00859e4e31d9b1018df21e221f5ddb5a0e082e7dbd21d6f461', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-06-27 09:35:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f787ab40a33a23aae185170a8a6be3ecb0e466b208ad7e8f586ed13ca9ba81cc', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-27 09:35:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b517fffb6c9ebb00859e4e31d9b1018df21e221f5ddb5a0e082e7dbd21d6f461', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-06-27 09:35:58: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f787ab40a33a23aae185170a8a6be3ecb0e466b208ad7e8f586ed13ca9ba81cc', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-27 09:35:59: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f787ab40a33a23aae185170a8a6be3ecb0e466b208ad7e8f586ed13ca9ba81cc', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-27 09:36:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '52f92b142a3676a19b15afa39da4297726bfd73b9e035bc3e029a55f0d93d2b0', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-27 09:36:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '2a577d954cff51fd7bf8ba90e3254ad3095fcb3a74e287f3fea9bd2a6451cf80', 'rssi': -38, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-27 09:36:01: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'f5a0c301babed113f4a99e52289cebef458c689b91fb22c20fa88e988cb888d3', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
