Testing SD card write operations: 2023-01-29 12:56:16
2023-01-29 12:56:51: {'name': None, 'adv_flag': 26, 'rssi': -87, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '631785885861c7e60be510081632efbcfbf2868e27f6f5f896a64ffd', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:56:52: {'name': None, 'adv_flag': 26, 'rssi': -85, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '631785885861c7e60be510081632efbcfbf2868e27f6f5f896a64ffd', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:56:53: {'name': None, 'adv_flag': None, 'rssi': -82, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'd6ad44414a5e6b376f0013d4ea0b856370bfecaf510782f7c464b342', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:56:54: {'name': None, 'adv_flag': None, 'rssi': -71, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'a5e1cb26505f88ca678c18fafb4f4cd3ed7536a3f220fc7390483ad3', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:56:54: {'name': None, 'adv_flag': 26, 'rssi': -84, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '631785885861c7e60be510081632efbcfbf2868e27f6f5f896a64ffd', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:56:55: {'name': None, 'adv_flag': None, 'rssi': -94, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '4deb801c3d72181e767304635813ca5fc658032dbbeacde56577fa3a', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:56:56: {'name': None, 'adv_flag': 26, 'rssi': -85, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '631785885861c7e60be510081632efbcfbf2868e27f6f5f896a64ffd', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:56:57: {'name': None, 'adv_flag': None, 'rssi': -95, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': 'd6ad44414a5e6b376f0013d4ea0b856370bfecaf510782f7c464b342', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:56:57: {'name': None, 'adv_flag': 26, 'rssi': -83, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '631785885861c7e60be510081632efbcfbf2868e27f6f5f896a64ffd', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-29 12:56:58: {'name': None, 'adv_flag': 26, 'rssi': -85, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': '631785885861c7e60be510081632efbcfbf2868e27f6f5f896a64ffd', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
