Testing SD card write operations 120: 2023-01-29 12:56:16
2023-01-29 12:56:21: {'ssid':'H1130', 'bssid':'0a20d18f456f8ac4273be58c99b9d85df03d3b747a6b3e0379321ec9c936597b', 'sec':3, 'channel':6, 'rssi':-93}
2023-01-29 12:56:21: {'ssid':'H1125', 'bssid':'57f73dc91160f832e0345677936d6e0d5ad1d156ed77c94e95557d105e5a947d', 'sec':3, 'channel':6, 'rssi':-93}
2023-01-29 12:56:21: {'ssid':'H119', 'bssid':'1f1618e5d54579530e146a45fcaafe6dec59174531dcbf2400d21be73ff1b768', 'sec':5, 'channel':11, 'rssi':-93}
2023-01-29 12:56:21: {'ssid':'H1119', 'bssid':'d00db19591294436b57a8204785dad15dd9a850bc0ed1786bcc3385ba71054ac', 'sec':3, 'channel':6, 'rssi':-94}
2023-01-29 12:56:21: {'ssid':'H1131', 'bssid':'2f11a64e075a2c48b030678b44ed57b6a897a73a97629178c5885a305d25dac7', 'sec':4, 'channel':3, 'rssi':-94}
2023-01-29 12:56:21: {'ssid':'H1115', 'bssid':'562e65ca81357735dca189151680b7dee766ad2337d63246d7a3f878ea5be72b', 'sec':0, 'channel':6, 'rssi':-94}
2023-01-29 12:56:21: {'ssid':'H1132', 'bssid':'caadedbde553a58a3e14514c148242777404db84bd7d11cbf0292a435e8b1d5e', 'sec':4, 'channel':6, 'rssi':-94}
2023-01-29 12:56:21: {'ssid':'H1126', 'bssid':'ff3ab91c9a12eb38820436ab72ce6563ccbec4c855f64d59a6a45b27a570615c', 'sec':3, 'channel':6, 'rssi':-94}
2023-01-29 12:56:21: {'ssid':'H1115', 'bssid':'2adf8864ba8d2db443b190ffce3abc0e7a0f9d1b11bd892895333cf6835e1a60', 'sec':0, 'channel':6, 'rssi':-94}
2023-01-29 12:56:21: {'ssid':'H1120', 'bssid':'3a42e5358a83e3beda6d7be714fafd2547e11d0953df61e9b31b6ce65858f4b9', 'sec':5, 'channel':6, 'rssi':-94}
