Testing SD card write operations: 2023-01-27 08:06:59
2023-01-27 08:07:30: {'name': None, 'adv_flag': 26, 'rssi': -83, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:31: {'name': None, 'adv_flag': 26, 'rssi': -74, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:32: {'name': None, 'adv_flag': 26, 'rssi': -72, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:32: {'name': None, 'adv_flag': 26, 'rssi': -79, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:33: {'name': None, 'adv_flag': 26, 'rssi': -72, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:34: {'name': None, 'adv_flag': 26, 'rssi': -79, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:35: {'name': None, 'adv_flag': 26, 'rssi': -74, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:35: {'name': None, 'adv_flag': 26, 'rssi': -75, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:36: {'name': None, 'adv_flag': 26, 'rssi': -81, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:37: {'name': None, 'adv_flag': 26, 'rssi': -76, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:38: {'name': None, 'adv_flag': 26, 'rssi': -74, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:39: {'name': None, 'adv_flag': 26, 'rssi': -73, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:39: {'name': None, 'adv_flag': 26, 'rssi': -82, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:40: {'name': None, 'adv_flag': 26, 'rssi': -72, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:41: {'name': None, 'adv_flag': 26, 'rssi': -79, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:42: {'name': None, 'adv_flag': 26, 'rssi': -76, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-27 08:07:42: {'name': None, 'adv_flag': 26, 'rssi': -79, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': 'a28fe709688d0803924ff904808df720ad3e3c81b7eb6027f40320d8', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
