Testing SD card write operations: 2023-01-27 08:07:01
2023-01-27 08:08:21: {'Acceleration': '(-0.03955078, 0.03564453, 1.009521)', 'Roll': '2.451199', 'battery_voltage': 4.024337, 'battery_percentage': 35.76696, 'Pitch': '-1.806438'}
2023-01-27 08:08:21: {'Acceleration': '(-0.03613281, 0.03320313, 1.015259)', 'Roll': '2.038282', 'battery_voltage': 4.024337, 'battery_percentage': 35.76696, 'Pitch': '-2.061469'}
2023-01-27 08:08:22: {'Acceleration': '(-0.0411377, 0.03417969, 1.012695)', 'Roll': '1.881603', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.935657'}
2023-01-27 08:08:23: {'Acceleration': '(-0.03515625, 0.03405762, 1.016602)', 'Roll': '1.980621', 'battery_voltage': 4.024337, 'battery_percentage': 35.76696, 'Pitch': '-1.917628'}
2023-01-27 08:08:24: {'Acceleration': '(-0.03710938, 0.03259277, 1.008911)', 'Roll': '1.95689', 'battery_voltage': 4.024337, 'battery_percentage': 35.76696, 'Pitch': '-1.831881'}
2023-01-27 08:08:25: {'Acceleration': '(-0.03820801, 0.03515625, 1.020142)', 'Roll': '2.144933', 'battery_voltage': 4.024337, 'battery_percentage': 35.76696, 'Pitch': '-1.972371'}
2023-01-27 08:08:26: {'Acceleration': '(-0.03759766, 0.03393555, 1.00415)', 'Roll': '1.900803', 'battery_voltage': 4.024337, 'battery_percentage': 35.76696, 'Pitch': '-1.885851'}
2023-01-27 08:08:27: {'Acceleration': '(-0.03369141, 0.0345459, 1.017212)', 'Roll': '1.897019', 'battery_voltage': 4.024337, 'battery_percentage': 35.76696, 'Pitch': '-1.94403'}
2023-01-27 08:08:27: {'Acceleration': '(-0.03649902, 0.03613281, 1.013672)', 'Roll': '1.919234', 'battery_voltage': 4.024337, 'battery_percentage': 35.76696, 'Pitch': '-1.904418'}
2023-01-27 08:08:28: {'Acceleration': '(-0.03710938, 0.03320313, 1.015991)', 'Roll': '2.091815', 'battery_voltage': 4.024337, 'battery_percentage': 35.76696, 'Pitch': '-1.870543'}
2023-01-27 08:08:29: {'Acceleration': '(-0.03503418, 0.03430176, 1.013428)', 'Roll': '2.054695', 'battery_voltage': 4.024337, 'battery_percentage': 35.76696, 'Pitch': '-1.752418'}
2023-01-27 08:08:30: {'Acceleration': '(-0.03857422, 0.03295898, 1.015625)', 'Roll': '2.175092', 'battery_voltage': 4.024337, 'battery_percentage': 35.76696, 'Pitch': '-1.857368'}
2023-01-27 08:08:31: {'Acceleration': '(-0.03320313, 0.03222656, 1.012695)', 'Roll': '1.945198', 'battery_voltage': 4.019319, 'battery_percentage': 35.26518, 'Pitch': '-1.957758'}
