Testing SD card write operations: 2022-09-20 15:08:50
2022-09-20 15:09:13: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '88378f33dd0b3dcd65c75d5d2e8d5736483f054ca89a1f4df5fd9739fdfad259', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-20 15:09:14: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'dfe5e3c7e5300242003cd6bf1d0a0d6121f192c5942d5907756403723cb2ca97', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-09-20 15:09:15: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bbda5fbfff2617f18a1524658d63a861bdb90640ce7fd5c8d2516fbe4192f97c', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 15:09:15: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bbda5fbfff2617f18a1524658d63a861bdb90640ce7fd5c8d2516fbe4192f97c', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 15:09:16: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0edbc53a7129193a5cba5a5524dccce8b9831f3b163686b7f952ba7857f5331a', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-09-20 15:09:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b74a2e45812321418cbd75892fa407059fc9218b45f66785de57f8e01c3f717', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-09-20 15:09:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'fd0c220de182eb7c6d38b929fca6f72ffe05c9acf2cee29d1aa4826c10d8adaa', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-20 15:09:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bbda5fbfff2617f18a1524658d63a861bdb90640ce7fd5c8d2516fbe4192f97c', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 15:09:19: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'b8555d50e13d1059b54d8bc4ffab0ecafc3e189413c4cedea48198f0f967dcce', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 15:09:20: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'dfe5e3c7e5300242003cd6bf1d0a0d6121f192c5942d5907756403723cb2ca97', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-09-20 15:09:21: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'fd0c220de182eb7c6d38b929fca6f72ffe05c9acf2cee29d1aa4826c10d8adaa', 'rssi': -51, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-20 15:09:22: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b74a2e45812321418cbd75892fa407059fc9218b45f66785de57f8e01c3f717', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-09-20 15:09:22: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ad084661f86ca6b532a19d528f84052f4d90bcd7f91b172b62d692954efd80c6', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-09-20 15:09:23: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bbda5fbfff2617f18a1524658d63a861bdb90640ce7fd5c8d2516fbe4192f97c', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 15:09:24: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ad084661f86ca6b532a19d528f84052f4d90bcd7f91b172b62d692954efd80c6', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-09-20 15:09:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'fd0c220de182eb7c6d38b929fca6f72ffe05c9acf2cee29d1aa4826c10d8adaa', 'rssi': -60, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-20 15:09:26: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'b8b5e833d1917d04243732f3f3c08ef8d1bdea510adbb9b09647a957d66be5a0', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 15:09:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b74a2e45812321418cbd75892fa407059fc9218b45f66785de57f8e01c3f717', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-09-20 15:09:27: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b74a2e45812321418cbd75892fa407059fc9218b45f66785de57f8e01c3f717', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-09-20 15:09:28: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '9fd103d9a66d552227ff6b20b737710fa3be4e05f105cb8df7bfe2d3f70d3212', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': -11, 'adv_tx_pwr': 3}
2022-09-20 15:09:29: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'dfe5e3c7e5300242003cd6bf1d0a0d6121f192c5942d5907756403723cb2ca97', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-09-20 15:09:30: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '3e79a3cf745528c67fa1ce36ef9f741a8eb19bc4d56c7db5dd4e0280bae7c75b', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 15:09:30: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '88378f33dd0b3dcd65c75d5d2e8d5736483f054ca89a1f4df5fd9739fdfad259', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-20 15:09:31: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b74a2e45812321418cbd75892fa407059fc9218b45f66785de57f8e01c3f717', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-09-20 15:09:32: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '833b17440b1014521885d193e84401246d630451c7f70bae1899f7020a1acf20', 'rssi': -95, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 15:09:33: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bbda5fbfff2617f18a1524658d63a861bdb90640ce7fd5c8d2516fbe4192f97c', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 15:09:33: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '3e79a3cf745528c67fa1ce36ef9f741a8eb19bc4d56c7db5dd4e0280bae7c75b', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 15:09:34: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f98e1e3bf7dccb4edfa2c2166ecc5c43afcffafbdf5932b0238d5647691deaf0', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-09-20 15:09:35: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'cda8bc2187415c67dd3b95e831c8f235984252b612c60cb603af2cbfd004e973', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 15:09:36: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b74a2e45812321418cbd75892fa407059fc9218b45f66785de57f8e01c3f717', 'rssi': -66, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-09-20 15:09:37: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '9fd103d9a66d552227ff6b20b737710fa3be4e05f105cb8df7bfe2d3f70d3212', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': -11, 'adv_tx_pwr': 3}
2022-09-20 15:09:37: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '3e79a3cf745528c67fa1ce36ef9f741a8eb19bc4d56c7db5dd4e0280bae7c75b', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 15:09:38: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0edbc53a7129193a5cba5a5524dccce8b9831f3b163686b7f952ba7857f5331a', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-09-20 15:09:39: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '9fd103d9a66d552227ff6b20b737710fa3be4e05f105cb8df7bfe2d3f70d3212', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': -11, 'adv_tx_pwr': 3}
2022-09-20 15:09:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bbda5fbfff2617f18a1524658d63a861bdb90640ce7fd5c8d2516fbe4192f97c', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 15:09:40: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '3e79a3cf745528c67fa1ce36ef9f741a8eb19bc4d56c7db5dd4e0280bae7c75b', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 15:09:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b74a2e45812321418cbd75892fa407059fc9218b45f66785de57f8e01c3f717', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-09-20 15:09:42: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bbda5fbfff2617f18a1524658d63a861bdb90640ce7fd5c8d2516fbe4192f97c', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 15:09:43: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '833b17440b1014521885d193e84401246d630451c7f70bae1899f7020a1acf20', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 15:09:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '84710b5e4baa4551e0b5cdbf5efeb34299fb6debe1dd65b235a276e8f1670eb0', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-09-20 15:09:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f98e1e3bf7dccb4edfa2c2166ecc5c43afcffafbdf5932b0238d5647691deaf0', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-09-20 15:09:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bbda5fbfff2617f18a1524658d63a861bdb90640ce7fd5c8d2516fbe4192f97c', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 15:09:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'fd0c220de182eb7c6d38b929fca6f72ffe05c9acf2cee29d1aa4826c10d8adaa', 'rssi': -53, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-20 15:09:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'fd0c220de182eb7c6d38b929fca6f72ffe05c9acf2cee29d1aa4826c10d8adaa', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-20 15:09:48: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '0b1e9d02d302ef5efc4e90cb684be21c155e08a82feab039f212989c4c11de5d', 'rssi': -96, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 15:09:48: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bbda5fbfff2617f18a1524658d63a861bdb90640ce7fd5c8d2516fbe4192f97c', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 15:09:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'aaed231b6458085a5ab329f9411d54b2a7932b8856afe4831d0614cb9cbf7592', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-09-20 15:09:50: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '84710b5e4baa4551e0b5cdbf5efeb34299fb6debe1dd65b235a276e8f1670eb0', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-09-20 15:09:51: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'aaed231b6458085a5ab329f9411d54b2a7932b8856afe4831d0614cb9cbf7592', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-09-20 15:09:51: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '3e79a3cf745528c67fa1ce36ef9f741a8eb19bc4d56c7db5dd4e0280bae7c75b', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 15:09:52: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bbda5fbfff2617f18a1524658d63a861bdb90640ce7fd5c8d2516fbe4192f97c', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 15:09:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '88378f33dd0b3dcd65c75d5d2e8d5736483f054ca89a1f4df5fd9739fdfad259', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-20 15:09:54: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'fd0c220de182eb7c6d38b929fca6f72ffe05c9acf2cee29d1aa4826c10d8adaa', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
