Testing SD card write operations: 2022-05-28 17:26:05
2022-05-28 17:27:10: {'Acceleration': '(0.5826416, 0.1401367, 0.7661133)', 'Roll': '-36.48015', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-7.181521'}
2022-05-28 17:27:11: {'Acceleration': '(0.6137695, 0.04650879, 0.822876)', 'Roll': '-36.71864', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.594023'}
2022-05-28 17:27:12: {'Acceleration': '(0.5474854, 0.2310791, 0.7862549)', 'Roll': '-34.85029', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-14.0587'}
2022-05-28 17:27:12: {'Acceleration': '(0.6717529, 0.2420654, 0.7043457)', 'Roll': '-42.59746', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-13.76623'}
2022-05-28 17:27:13: {'Acceleration': '(0.621582, 0.2565918, 0.5718994)', 'Roll': '-47.38375', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-16.89799'}
2022-05-28 17:27:14: {'Acceleration': '(0.69104, 0.2436523, 0.6806641)', 'Roll': '-45.43339', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-14.10072'}
2022-05-28 17:27:15: {'Acceleration': '(0.8389893, 0.2407227, 0.8444824)', 'Roll': '-44.81304', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-9.856676'}
2022-05-28 17:27:16: {'Acceleration': '(0.6707764, 0.2352295, 0.6193848)', 'Roll': '-47.28108', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-14.44765'}
2022-05-28 17:27:17: {'Acceleration': '(0.6247559, 0.3105469, 0.6053467)', 'Roll': '-45.90396', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-19.64567'}
2022-05-28 17:27:18: {'Acceleration': '(0.6864014, 0.2723389, 0.7049561)', 'Roll': '-44.23596', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-16.97851'}
2022-05-28 17:27:18: {'Acceleration': '(0.8221436, 0.2211914, 0.5849609)', 'Roll': '-54.79566', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-12.26461'}
2022-05-28 17:27:19: {'Acceleration': '(0.8109131, 0.2281494, 0.541626)', 'Roll': '-56.2602', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-13.16811'}
2022-05-28 17:27:20: {'Acceleration': '(0.7998047, 0.2094727, 0.5946045)', 'Roll': '-53.37152', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-11.86988'}
2022-05-28 17:27:21: {'Acceleration': '(0.6530762, 0.2602539, 0.6862793)', 'Roll': '-42.80694', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-15.31792'}
2022-05-28 17:27:22: {'Acceleration': '(0.625, 0.2493896, 0.7220459)', 'Roll': '-40.87933', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-14.63582'}
2022-05-28 17:27:23: {'Acceleration': '(0.5698242, 0.284668, 0.7415771)', 'Roll': '-37.5385', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-16.92952'}
2022-05-28 17:27:23: {'Acceleration': '(0.5249023, 0.262085, 0.7697754)', 'Roll': '-34.65445', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-15.25762'}
2022-05-28 17:27:24: {'Acceleration': '(0.6802979, 0.2891846, 0.7025146)', 'Roll': '-44.07954', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-16.47365'}
2022-05-28 17:27:25: {'Acceleration': '(0.7414551, 0.2573242, 0.6137695)', 'Roll': '-50.38236', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-14.96747'}
2022-05-28 17:27:26: {'Acceleration': '(0.8183594, 0.1716309, 0.5605469)', 'Roll': '-56.69984', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-9.995544'}
2022-05-28 17:27:27: {'Acceleration': '(0.6519775, 0.241333, 0.7012939)', 'Roll': '-42.91293', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-14.14586'}
2022-05-28 17:27:28: {'Acceleration': '(0.6053467, 0.2520752, 0.7393799)', 'Roll': '-39.30795', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-14.77763'}
2022-05-28 17:27:29: {'Acceleration': '(0.5374756, 0.2889404, 0.8114014)', 'Roll': '-33.74934', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-16.41977'}
2022-05-28 17:27:29: {'Acceleration': '(0.5032959, 0.3166504, 0.7869873)', 'Roll': '-32.59982', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-18.72501'}
2022-05-28 17:27:30: {'Acceleration': '(0.5483398, 0.269043, 0.8151855)', 'Roll': '-33.927', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-15.35672'}
2022-05-28 17:27:31: {'Acceleration': '(1.240967, -0.4215088, -0.07849121)', 'Roll': '-102.7746', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '11.12079'}
2022-05-28 17:27:32: {'Acceleration': '(0.6700439, 0.284668, 0.72229)', 'Roll': '-42.85103', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-16.11601'}
2022-05-28 17:27:33: {'Acceleration': '(0.4688721, 0.3269043, 0.8094482)', 'Roll': '-30.08152', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-18.9027'}
2022-05-28 17:27:34: {'Acceleration': '(0.1799316, 0.3441162, 0.9923096)', 'Roll': '-10.08685', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-18.2174'}
2022-05-28 17:27:34: {'Acceleration': '(0.3929443, 0.3684082, 0.883667)', 'Roll': '-23.96689', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-20.85498'}
