Testing SD card write operations: 2022-05-28 17:25:58
2022-05-28 17:26:39: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '68f3aa80e313d530b9a7c2e5b381d322a8cf9404183bce9d8e8742a4', 'rssi': -66, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-28 17:26:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b76bb082f9393bb000dae3d81d0a28e13bf20a89ea4db1164fb77751', 'rssi': -51, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-28 17:26:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b76bb082f9393bb000dae3d81d0a28e13bf20a89ea4db1164fb77751', 'rssi': -51, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-28 17:26:42: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '68f3aa80e313d530b9a7c2e5b381d322a8cf9404183bce9d8e8742a4', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-28 17:26:43: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b76bb082f9393bb000dae3d81d0a28e13bf20a89ea4db1164fb77751', 'rssi': -51, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-28 17:26:43: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b76bb082f9393bb000dae3d81d0a28e13bf20a89ea4db1164fb77751', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-28 17:26:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '68f3aa80e313d530b9a7c2e5b381d322a8cf9404183bce9d8e8742a4', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-28 17:26:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5f9a8d15cebfe5a94d53134bc1e6de2525bf3468a967e1fc716692e3', 'rssi': -57, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-28 17:26:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b76bb082f9393bb000dae3d81d0a28e13bf20a89ea4db1164fb77751', 'rssi': -50, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-28 17:26:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '68f3aa80e313d530b9a7c2e5b381d322a8cf9404183bce9d8e8742a4', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
