Testing SD card write operations: 2022-09-11 16:47:24
2022-09-11 16:48:37: {'Acceleration': '(-0.004638672, -0.4056396, 0.9272461)', 'Roll': '0.2177965', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '23.56182'}
2022-09-11 16:48:38: {'Acceleration': '(-0.01672363, -0.4018555, 0.9291992)', 'Roll': '1.031092', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '23.3839'}
2022-09-11 16:48:39: {'Acceleration': '(-0.01220703, -0.401123, 0.9285889)', 'Roll': '0.7531547', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '23.61646'}
2022-09-11 16:48:40: {'Acceleration': '(-0.01477051, -0.3995361, 0.9300537)', 'Roll': '0.9098577', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '23.24496'}
2022-09-11 16:48:40: {'Acceleration': '(-0.01416016, -0.4008789, 0.9317627)', 'Roll': '0.8706666', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '23.27677'}
2022-09-11 16:48:41: {'Acceleration': '(-0.03601074, -0.4324951, 0.8946533)', 'Roll': '2.304971', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '24.13461'}
2022-09-11 16:48:42: {'Acceleration': '(-0.03820801, -0.4102783, 0.9125977)', 'Roll': '2.39742', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '24.18859'}
2022-09-11 16:48:43: {'Acceleration': '(-0.03320313, -0.4442139, 0.9146729)', 'Roll': '2.078955', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '25.57537'}
2022-09-11 16:48:44: {'Acceleration': '(0.0003662109, -0.4375, 0.9082031)', 'Roll': '0.3417203', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '25.7479'}
2022-09-11 16:48:45: {'Acceleration': '(-0.03259277, -0.4593506, 0.8984375)', 'Roll': '2.077618', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '27.29686'}
2022-09-11 16:48:46: {'Acceleration': '(-0.03210449, -0.4597168, 0.8930664)', 'Roll': '2.042372', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '26.99131'}
2022-09-11 16:48:47: {'Acceleration': '(-0.02929688, -0.4622803, 0.9012451)', 'Roll': '1.861864', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '27.14259'}
2022-09-11 16:48:47: {'Acceleration': '(-0.03466797, -0.4696045, 0.9020996)', 'Roll': '2.031352', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '27.14384'}
2022-09-11 16:48:48: {'Acceleration': '(-0.03198242, -0.4705811, 0.897583)', 'Roll': '2.040684', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '27.65199'}
2022-09-11 16:48:49: {'Acceleration': '(-0.04431152, -0.5068359, 0.885376)', 'Roll': '2.865163', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '29.72779'}
2022-09-11 16:48:50: {'Acceleration': '(0.04199219, -0.4404297, 0.9233398)', 'Roll': '-2.5359', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '25.23817'}
2022-09-11 16:48:51: {'Acceleration': '(0.05932617, -0.4316406, 0.9221191)', 'Roll': '-3.681152', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '25.03872'}
2022-09-11 16:48:52: {'Acceleration': '(0.0378418, -0.4560547, 0.8983154)', 'Roll': '-2.412175', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '26.89539'}
2022-09-11 16:48:53: {'Acceleration': '(0.04431152, -0.4562988, 0.9025879)', 'Roll': '-2.810614', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '26.8134'}
2022-09-11 16:48:53: {'Acceleration': '(0.04345703, -0.4504395, 0.9034424)', 'Roll': '-2.821613', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '26.55576'}
2022-09-11 16:48:54: {'Acceleration': '(0.04663086, -0.4517822, 0.9036865)', 'Roll': '-2.953882', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '26.67009'}
2022-09-11 16:48:55: {'Acceleration': '(-0.08630371, -0.5430908, 0.8404541)', 'Roll': '5.285955', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '32.75882'}
2022-09-11 16:48:56: {'Acceleration': '(-0.03613281, -0.5585938, 0.8426514)', 'Roll': '2.455333', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '33.51618'}
2022-09-11 16:48:57: {'Acceleration': '(-0.0390625, -0.5532227, 0.8483887)', 'Roll': '2.636217', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '33.08007'}
2022-09-11 16:48:58: {'Acceleration': '(-0.03637695, -0.5664063, 0.8388672)', 'Roll': '2.48304', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '33.9653'}
