Testing SD card write operations: 2022-09-18 18:17:41
2022-09-18 18:19:04: {'Acceleration': '(-0.8031006, -0.03186035, 0.6352539)', 'Roll': '51.65594', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.782154'}
2022-09-18 18:19:05: {'Acceleration': '(-0.7619629, -0.149292, 0.6728516)', 'Roll': '48.55387', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '8.355043'}
2022-09-18 18:19:06: {'Acceleration': '(-0.8049316, -0.138916, 0.6279297)', 'Roll': '52.0421', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '7.752804'}
2022-09-18 18:19:07: {'Acceleration': '(-0.7913818, -0.144165, 0.6413574)', 'Roll': '50.97775', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '8.053625'}
2022-09-18 18:19:08: {'Acceleration': '(-0.7973633, -0.1495361, 0.6396484)', 'Roll': '51.26325', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '8.284455'}
2022-09-18 18:19:08: {'Acceleration': '(-0.8010254, -0.1572266, 0.6352539)', 'Roll': '51.557', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '8.767805'}
2022-09-18 18:19:09: {'Acceleration': '(-0.8066406, -0.1508789, 0.625)', 'Roll': '52.24304', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '8.243104'}
2022-09-18 18:19:10: {'Acceleration': '(-0.8155518, -0.1401367, 0.619873)', 'Roll': '52.60007', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '7.497484'}
2022-09-18 18:19:11: {'Acceleration': '(-0.815918, -0.1324463, 0.6313477)', 'Roll': '52.26772', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '7.315714'}
2022-09-18 18:19:12: {'Acceleration': '(-0.8057861, -0.1306152, 0.6217041)', 'Roll': '52.34802', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '7.313233'}
2022-09-18 18:19:12: {'Acceleration': '(-0.8197021, -0.1365967, 0.6181641)', 'Roll': '52.97886', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '7.578641'}
2022-09-18 18:19:13: {'Acceleration': '(-0.8210449, -0.1442871, 0.6149902)', 'Roll': '53.16556', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '8.006356'}
2022-09-18 18:19:14: {'Acceleration': '(-0.809082, -0.1523438, 0.6225586)', 'Roll': '52.42305', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '8.489946'}
2022-09-18 18:19:15: {'Acceleration': '(-0.8066406, -0.1505127, 0.6243896)', 'Roll': '50.8957', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '8.283128'}
2022-09-18 18:19:16: {'Acceleration': '(-0.8034668, -0.12854, 0.6304932)', 'Roll': '52.06179', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '6.940784'}
2022-09-18 18:19:17: {'Acceleration': '(-0.8214111, -0.1387939, 0.6191406)', 'Roll': '53.66409', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '8.052106'}
2022-09-18 18:19:18: {'Acceleration': '(-0.8220215, -0.1436768, 0.6118164)', 'Roll': '52.9767', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '8.26923'}
2022-09-18 18:19:18: {'Acceleration': '(-0.8111572, -0.1505127, 0.6224365)', 'Roll': '52.30279', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '8.41111'}
2022-09-18 18:19:19: {'Acceleration': '(-0.8039551, -0.1358643, 0.6348877)', 'Roll': '51.70166', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '7.554831'}
2022-09-18 18:19:20: {'Acceleration': '(-0.7645264, -0.163208, 0.5561523)', 'Roll': '53.9661', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '9.607974'}
2022-09-18 18:19:21: {'Acceleration': '(-0.8656006, -0.05517578, 0.6027832)', 'Roll': '55.14758', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '3.104874'}
2022-09-18 18:19:22: {'Acceleration': '(-0.854248, -0.08642578, 0.6154785)', 'Roll': '54.22756', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '3.954634'}
2022-09-18 18:19:23: {'Acceleration': '(-0.8212891, -0.07373047, 0.6176758)', 'Roll': '52.93982', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '4.177941'}
2022-09-18 18:19:23: {'Acceleration': '(-0.8240967, -0.06616211, 0.6245117)', 'Roll': '53.31972', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '3.671252'}
2022-09-18 18:19:24: {'Acceleration': '(-0.8270264, -0.06054688, 0.6210938)', 'Roll': '53.09358', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '3.350286'}
2022-09-18 18:19:25: {'Acceleration': '(-0.8226318, -0.07189941, 0.6210938)', 'Roll': '52.9469', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '3.990108'}
2022-09-18 18:19:26: {'Acceleration': '(-0.8187256, -0.0723877, 0.6174316)', 'Roll': '52.97868', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '4.01989'}
2022-09-18 18:19:27: {'Acceleration': '(-0.8260498, -0.06872559, 0.6174316)', 'Roll': '53.22369', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '3.817872'}
2022-09-18 18:19:28: {'Acceleration': '(-0.8170166, -0.08044434, 0.6208496)', 'Roll': '53.17807', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '4.639009'}
2022-09-18 18:19:28: {'Acceleration': '(-0.8226318, -0.08093262, 0.6160889)', 'Roll': '53.34643', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '4.588813'}
2022-09-18 18:19:29: {'Acceleration': '(-0.8248291, -0.07641602, 0.6156006)', 'Roll': '53.19952', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '4.252635'}
2022-09-18 18:19:30: {'Acceleration': '(-0.8256836, -0.07861328, 0.6173096)', 'Roll': '53.21694', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '4.360619'}
2022-09-18 18:19:31: {'Acceleration': '(-0.8205566, -0.07434082, 0.6140137)', 'Roll': '53.19289', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '4.260948'}
2022-09-18 18:19:32: {'Acceleration': '(-0.8317871, -0.08496094, 0.6199951)', 'Roll': '53.29999', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '4.872511'}
2022-09-18 18:19:33: {'Acceleration': '(-0.8105469, -0.05944824, 0.6317139)', 'Roll': '52.38098', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '2.99436'}
2022-09-18 18:19:33: {'Acceleration': '(-0.8282471, -0.04968262, 0.6140137)', 'Roll': '53.26394', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '2.870354'}
2022-09-18 18:19:34: {'Acceleration': '(-0.8283691, -0.05810547, 0.6121826)', 'Roll': '53.5348', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '3.228714'}
2022-09-18 18:19:35: {'Acceleration': '(-0.8267822, -0.05566406, 0.612793)', 'Roll': '53.45496', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '3.09606'}
