Testing SD card write operations: 2022-07-08 06:08:26
2022-07-08 06:08:57: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e5ab21e8b26f', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:08:58: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e5ab21e8b26f', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:09:00: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'dfd349789bc1', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:09:01: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e85378d12494', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:09:01: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'c04640bccd27', 'rssi': -95, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:09:02: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'dfd349789bc1', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:09:03: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e85378d12494', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:09:04: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'c04640bccd27', 'rssi': -96, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:09:05: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'dca8ab82f8d8', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 06:09:05: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'dfd349789bc1', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
