Testing SD card write operations: 2022-07-03 15:18:18
2022-07-03 15:19:08: {'Acceleration': '(-0.3083496, -0.1928711, 0.9361572)', 'Roll': '18.23075', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '11.17752'}
2022-07-03 15:19:09: {'Acceleration': '(-0.3187256, -0.1810303, 0.9456787)', 'Roll': '18.18148', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '10.69149'}
2022-07-03 15:19:09: {'Acceleration': '(-0.3123779, -0.1904297, 0.951416)', 'Roll': '18.45479', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '10.75027'}
2022-07-03 15:19:10: {'Acceleration': '(-0.3162842, -0.1938477, 0.9630127)', 'Roll': '18.18184', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '11.3948'}
2022-07-03 15:19:11: {'Acceleration': '(-0.3258057, -0.213501, 0.9763184)', 'Roll': '18.37186', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '11.85988'}
2022-07-03 15:19:12: {'Acceleration': '(-0.3041992, -0.1971436, 0.9331055)', 'Roll': '18.05635', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '11.35796'}
2022-07-03 15:19:13: {'Acceleration': '(-0.302124, -0.1955566, 0.9223633)', 'Roll': '17.76701', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '11.11704'}
2022-07-03 15:19:14: {'Acceleration': '(-0.3050537, -0.1945801, 0.9528809)', 'Roll': '17.75047', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '10.84315'}
2022-07-03 15:19:15: {'Acceleration': '(-0.3095703, -0.1867676, 0.9639893)', 'Roll': '17.80362', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '10.45164'}
2022-07-03 15:19:15: {'Acceleration': '(-0.3238525, -0.1740723, 0.9615479)', 'Roll': '18.6137', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '10.59594'}
2022-07-03 15:19:16: {'Acceleration': '(-0.324707, -0.168457, 0.9984131)', 'Roll': '18.19925', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '8.826966'}
2022-07-03 15:19:17: {'Acceleration': '(-0.3074951, -0.1743164, 0.9642334)', 'Roll': '17.68754', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.772533'}
2022-07-03 15:19:18: {'Acceleration': '(-0.3284912, -0.164917, 0.9669189)', 'Roll': '18.75535', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.123444'}
2022-07-03 15:19:19: {'Acceleration': '(-0.3099365, -0.1612549, 0.9619141)', 'Roll': '18.6071', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.027522'}
2022-07-03 15:19:20: {'Acceleration': '(-0.3284912, -0.1759033, 0.951416)', 'Roll': '19.04803', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.913038'}
2022-07-03 15:19:21: {'Acceleration': '(-0.3195801, -0.2001953, 0.9542236)', 'Roll': '18.04281', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '11.75632'}
2022-07-03 15:19:21: {'Acceleration': '(-0.3070068, -0.2226563, 0.980835)', 'Roll': '17.38041', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '12.22379'}
2022-07-03 15:19:22: {'Acceleration': '(-0.3162842, -0.2469482, 0.9550781)', 'Roll': '18.32283', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '13.79085'}
2022-07-03 15:19:23: {'Acceleration': '(-0.3153076, -0.2495117, 0.9608154)', 'Roll': '17.26321', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '13.92774'}
