Testing SD card write operations: 2022-07-03 15:16:38
2022-07-03 15:17:28: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!$+\x9b', 'sec':0, 'channel':11, 'rssi':-80}
2022-07-03 15:17:29: {'ssid':'iPhone', 'bssid':b'^\xf5\x13$\xd4j', 'sec':3, 'channel':6, 'rssi':-35}
2022-07-03 15:17:29: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!$+\x9b', 'sec':0, 'channel':11, 'rssi':-82}
2022-07-03 15:17:31: {'ssid':'iPhone', 'bssid':b'^\xf5\x13$\xd4j', 'sec':3, 'channel':6, 'rssi':-16}
2022-07-03 15:17:31: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!$+\x9b', 'sec':0, 'channel':11, 'rssi':-78}
2022-07-03 15:17:31: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!\x91a\xbf', 'sec':0, 'channel':6, 'rssi':-83}
2022-07-03 15:17:33: {'ssid':'iPhone', 'bssid':b'^\xf5\x13$\xd4j', 'sec':3, 'channel':6, 'rssi':-19}
2022-07-03 15:17:33: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!$+\x9b', 'sec':0, 'channel':11, 'rssi':-82}
2022-07-03 15:17:35: {'ssid':'iPhone', 'bssid':b'^\xf5\x13$\xd4j', 'sec':3, 'channel':6, 'rssi':-18}
2022-07-03 15:17:35: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!$+\x9b', 'sec':0, 'channel':11, 'rssi':-79}
2022-07-03 15:17:37: {'ssid':'iPhone', 'bssid':b'^\xf5\x13$\xd4j', 'sec':3, 'channel':6, 'rssi':-17}
2022-07-03 15:17:37: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!\x91a\xbf', 'sec':0, 'channel':6, 'rssi':-84}
2022-07-03 15:17:39: {'ssid':'iPhone', 'bssid':b'^\xf5\x13$\xd4j', 'sec':3, 'channel':6, 'rssi':-17}
2022-07-03 15:17:39: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!$+\x9b', 'sec':0, 'channel':11, 'rssi':-79}
2022-07-03 15:17:41: {'ssid':'iPhone', 'bssid':b'^\xf5\x13$\xd4j', 'sec':3, 'channel':6, 'rssi':-16}
2022-07-03 15:17:41: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!$+\x9b', 'sec':0, 'channel':11, 'rssi':-80}
2022-07-03 15:17:41: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!\x91a\xbf', 'sec':0, 'channel':6, 'rssi':-83}
2022-07-03 15:17:43: {'ssid':'iPhone', 'bssid':b'^\xf5\x13$\xd4j', 'sec':3, 'channel':6, 'rssi':-32}
2022-07-03 15:17:43: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!$+\x9b', 'sec':0, 'channel':11, 'rssi':-77}
2022-07-03 15:17:43: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!\x91a\xbf', 'sec':0, 'channel':6, 'rssi':-86}
2022-07-03 15:17:44: {'ssid':'iPhone', 'bssid':b'^\xf5\x13$\xd4j', 'sec':3, 'channel':6, 'rssi':-30}
2022-07-03 15:17:44: {'ssid':'iPhone', 'bssid':b'F\xb3\x07\xb8\x8cN', 'sec':3, 'channel':6, 'rssi':-80}
2022-07-03 15:17:44: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!$+\x9b', 'sec':0, 'channel':11, 'rssi':-82}
2022-07-03 15:17:46: {'ssid':'iPhone', 'bssid':b'^\xf5\x13$\xd4j', 'sec':3, 'channel':6, 'rssi':-33}
2022-07-03 15:17:46: {'ssid':'iPhone', 'bssid':b'F\xb3\x07\xb8\x8cN', 'sec':3, 'channel':6, 'rssi':-85}
2022-07-03 15:17:48: {'ssid':'iPhone', 'bssid':b'^\xf5\x13$\xd4j', 'sec':3, 'channel':6, 'rssi':-30}
2022-07-03 15:17:52: {'ssid':'iPhone', 'bssid':b'^\xf5\x13$\xd4j', 'sec':3, 'channel':6, 'rssi':-34}
2022-07-03 15:17:52: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!$+\x9b', 'sec':0, 'channel':11, 'rssi':-77}
2022-07-03 15:17:52: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!\x91a\xbf', 'sec':0, 'channel':6, 'rssi':-83}
2022-07-03 15:17:54: {'ssid':'iPhone', 'bssid':b'^\xf5\x13$\xd4j', 'sec':3, 'channel':6, 'rssi':-32}
2022-07-03 15:17:54: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!$+\x9b', 'sec':0, 'channel':11, 'rssi':-77}
2022-07-03 15:17:54: {'ssid':'iPhone', 'bssid':b'F\xb3\x07\xb8\x8cN', 'sec':3, 'channel':6, 'rssi':-92}
2022-07-03 15:17:56: {'ssid':'iPhone', 'bssid':b'^\xf5\x13$\xd4j', 'sec':3, 'channel':6, 'rssi':-25}
2022-07-03 15:17:58: {'ssid':'iPhone', 'bssid':b'^\xf5\x13$\xd4j', 'sec':3, 'channel':6, 'rssi':-27}
2022-07-03 15:17:58: {'ssid':'iPhone', 'bssid':b'F\xb3\x07\xb8\x8cN', 'sec':3, 'channel':6, 'rssi':-80}
2022-07-03 15:17:58: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!\x91a\xbf', 'sec':0, 'channel':6, 'rssi':-84}
2022-07-03 15:17:59: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!$+\x9b', 'sec':0, 'channel':11, 'rssi':-79}
2022-07-03 15:18:01: {'ssid':'iPhone', 'bssid':b'^\xf5\x13$\xd4j', 'sec':3, 'channel':6, 'rssi':-27}
2022-07-03 15:18:01: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!$+\x9b', 'sec':0, 'channel':11, 'rssi':-80}
2022-07-03 15:18:03: {'ssid':'iPhone', 'bssid':b'^\xf5\x13$\xd4j', 'sec':3, 'channel':6, 'rssi':-22}
2022-07-03 15:18:05: {'ssid':'iPhone', 'bssid':b'^\xf5\x13$\xd4j', 'sec':3, 'channel':6, 'rssi':-27}
2022-07-03 15:18:05: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!$+\x9b', 'sec':0, 'channel':11, 'rssi':-79}
2022-07-03 15:18:05: {'ssid':'iPhone', 'bssid':b'F\xb3\x07\xb8\x8cN', 'sec':3, 'channel':6, 'rssi':-81}
2022-07-03 15:18:05: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!\x91a\xbf', 'sec':0, 'channel':6, 'rssi':-85}
