Testing SD card write operations: 2022-07-03 15:16:38
2022-07-03 15:17:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd5e02f1fdc669435fd7639c4cb2e6d5941d4a8b514a530c83bfb8357', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 15:17:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '10d21b6589614e2b8006b34cbb9bdcd05808be8f9f6917fb6f927f52', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-03 15:17:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'c0f35f5a3952f1fba2daae4fd5dcafc537cf54362644534eeb91c3d7', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 6, 'adv_tx_pwr': 3}
2022-07-03 15:17:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'deca2c5d1dcc6a572b3a3b7f103683a97589783f6d71f0567a5788cb', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-03 15:17:07: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'ca329146901ed2e7a7939f0e38d8bde00ac21950e44f369345a0f68a', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 15:17:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'dafe57d67211d20b1948ab15f071901dd7210792969fe53bc4d10a89', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-03 15:17:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f27a93c099de49db69dba3846a8882894123b1e969c09803c4ee9b4b', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-03 15:17:09: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'c88009d6316496740446238b136fd3bed4bc7a5971b5e290ccad159d', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-03 15:17:10: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'c88009d6316496740446238b136fd3bed4bc7a5971b5e290ccad159d', 'rssi': -54, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-03 15:17:11: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd5e02f1fdc669435fd7639c4cb2e6d5941d4a8b514a530c83bfb8357', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 15:17:12: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'c88009d6316496740446238b136fd3bed4bc7a5971b5e290ccad159d', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-03 15:17:12: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'c88009d6316496740446238b136fd3bed4bc7a5971b5e290ccad159d', 'rssi': -54, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-03 15:17:13: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '10d21b6589614e2b8006b34cbb9bdcd05808be8f9f6917fb6f927f52', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-03 15:17:14: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bd2949e0864c7e9e42e72d01694bc75c49cf148b4edc916361c061c0', 'rssi': -58, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-03 15:17:15: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'dafe57d67211d20b1948ab15f071901dd7210792969fe53bc4d10a89', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-03 15:17:16: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'aec324f7a118a668f1fb8415ac54c20e5b5644fdf0fbf230a8565ac0', 'rssi': -75, 'name': 'Tb80', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 15:17:16: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '18b105a30cdac1ed2cf5cb49a4abe4cd9f18ad2e1b093ce31b496ce7', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-03 15:17:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bd2949e0864c7e9e42e72d01694bc75c49cf148b4edc916361c061c0', 'rssi': -59, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-03 15:17:18: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '53308d3d71a51eda99b417a2675146dabdef2350edbb2b671899bfc4', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 15:17:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '18b105a30cdac1ed2cf5cb49a4abe4cd9f18ad2e1b093ce31b496ce7', 'rssi': -55, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-03 15:17:20: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '06e2613cd6b18fc01ac972550357ecc4c6516145cbc610726b425946', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 15:17:20: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '10a6011e4fe6555fb7021bce73465b8ddfcf16a82afa185ac0d26e25', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 24, 'adv_tx_pwr': 3}
2022-07-03 15:17:21: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'ca329146901ed2e7a7939f0e38d8bde00ac21950e44f369345a0f68a', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 15:17:22: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd5e02f1fdc669435fd7639c4cb2e6d5941d4a8b514a530c83bfb8357', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 15:17:23: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'deca2c5d1dcc6a572b3a3b7f103683a97589783f6d71f0567a5788cb', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-03 15:17:24: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4f7cce41c5e12be01e516f66e5efadb1457f20b5c30eceff58af142a', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-03 15:17:24: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '0d75595d2337e82a988090636ce54b26da20a30054aeafd47c87c908', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-03 15:17:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd5e02f1fdc669435fd7639c4cb2e6d5941d4a8b514a530c83bfb8357', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
