Testing SD card write operations: 2022-09-11 17:00:49
2022-09-11 17:01:31: {'Acceleration': '(-0.03369141, -0.1439209, 1.137207)', 'Roll': '1.696974', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '7.554295'}
2022-09-11 17:01:32: {'Acceleration': '(-0.08569336, -0.09545898, 1.018066)', 'Roll': '5.099197', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '8.583612'}
2022-09-11 17:01:33: {'Acceleration': '(-0.1053467, -0.08483887, 0.9680176)', 'Roll': '6.210899', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '4.979459'}
2022-09-11 17:01:33: {'Acceleration': '(-0.09887695, -0.09985352, 0.9715576)', 'Roll': '4.734917', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '6.027231'}
2022-09-11 17:01:34: {'Acceleration': '(-0.1751709, -0.09350586, 1.015503)', 'Roll': '9.78702', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '5.184723'}
2022-09-11 17:01:35: {'Acceleration': '(-0.1229248, -0.1118164, 0.8861084)', 'Roll': '7.897913', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '7.124521'}
2022-09-11 17:01:36: {'Acceleration': '(-0.09985352, -0.1397705, 0.9758301)', 'Roll': '5.842555', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '8.109395'}
2022-09-11 17:01:37: {'Acceleration': '(-0.1361084, -0.1213379, 1.007568)', 'Roll': '7.693287', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '6.805633'}
2022-09-11 17:01:38: {'Acceleration': '(-0.1501465, -0.08898926, 1.037354)', 'Roll': '8.235793', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '3.453101'}
2022-09-11 17:01:39: {'Acceleration': '(-0.2680664, 0.1346436, 1.400513)', 'Roll': '10.83569', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-5.394139'}
2022-09-11 17:01:39: {'Acceleration': '(-0.1417236, -0.08898926, 0.8884277)', 'Roll': '8.529212', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '3.784531'}
2022-09-11 17:01:40: {'Acceleration': '(-0.1390381, -0.1052246, 1.043091)', 'Roll': '7.592447', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '5.710213'}
2022-09-11 17:01:41: {'Acceleration': '(-0.1326904, -0.08789063, 0.9564209)', 'Roll': '8.044345', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '9.242375'}
2022-09-11 17:01:42: {'Acceleration': '(-0.1191406, -0.1142578, 0.9416504)', 'Roll': '7.210931', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '6.52634'}
2022-09-11 17:01:43: {'Acceleration': '(-0.138916, -0.1021729, 1.054321)', 'Roll': '7.505982', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '5.488033'}
2022-09-11 17:01:44: {'Acceleration': '(-0.2163086, -0.1306152, 1.015381)', 'Roll': '12.02606', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '9.072767'}
2022-09-11 17:01:45: {'Acceleration': '(-0.1571045, -0.1170654, 1.018188)', 'Roll': '8.771453', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '6.482687'}
2022-09-11 17:01:46: {'Acceleration': '(-0.1108398, -0.1607666, 1.020142)', 'Roll': '7.91221', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '2.950461'}
2022-09-11 17:01:46: {'Acceleration': '(-0.1397705, -0.1055908, 1.167725)', 'Roll': '6.825531', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '5.130462'}
2022-09-11 17:01:47: {'Acceleration': '(-0.1340332, -0.07739258, 0.9267578)', 'Roll': '8.229394', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '4.724704'}
2022-09-11 17:01:48: {'Acceleration': '(-0.1264648, -0.03173828, 1.039063)', 'Roll': '6.939368', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '6.799042'}
2022-09-11 17:01:49: {'Acceleration': '(-0.1541748, 0.009399414, 0.8547363)', 'Roll': '10.2249', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-0.6200428'}
2022-09-11 17:01:50: {'Acceleration': '(-0.006469727, -0.08312988, 1.05603)', 'Roll': '-0.6821392', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '7.662639'}
2022-09-11 17:01:51: {'Acceleration': '(-0.0291748, -0.01342773, 0.9985352)', 'Roll': '1.673569', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '3.360941'}
2022-09-11 17:01:52: {'Acceleration': '(-0.03564453, -0.02197266, 0.9046631)', 'Roll': '1.611087', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '6.244508'}
2022-09-11 17:01:52: {'Acceleration': '(-0.05822754, -0.1068115, 0.9287109)', 'Roll': '3.587587', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '6.548046'}
2022-09-11 17:01:53: {'Acceleration': '(-0.1123047, -0.08874512, 0.9355469)', 'Roll': '6.845131', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '5.380413'}
2022-09-11 17:01:54: {'Acceleration': '(-0.1585693, -0.08996582, 1.044678)', 'Roll': '8.630919', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '4.866598'}
2022-09-11 17:01:55: {'Acceleration': '(-0.116333, -0.1130371, 0.8652344)', 'Roll': '7.8466', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '6.315825'}
2022-09-11 17:01:56: {'Acceleration': '(-0.1330566, -0.09399414, 0.9891357)', 'Roll': '7.661328', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '5.380148'}
2022-09-11 17:01:57: {'Acceleration': '(-0.15271, -0.1051025, 1.067749)', 'Roll': '8.139272', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '5.565457'}
