Testing SD card write operations: 2022-09-11 17:00:44
2022-09-11 17:01:16: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '44721c9f21dab6e6f5173f2328f48cb5cf14061379d198a14afd6c7e3c1769b2', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:01:16: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd5f9f1e970e6381e35cae0d67eeadae955b796ea5d70caa553eb88d35bf9568d', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:01:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd5f9f1e970e6381e35cae0d67eeadae955b796ea5d70caa553eb88d35bf9568d', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:01:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '44721c9f21dab6e6f5173f2328f48cb5cf14061379d198a14afd6c7e3c1769b2', 'rssi': -66, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:01:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '75cbf9434c3819c23f8b2bc54dcbba6ee03d727c9ad08e8ed84bf55462b9059b', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-09-11 17:01:20: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd5f9f1e970e6381e35cae0d67eeadae955b796ea5d70caa553eb88d35bf9568d', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:01:20: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '44721c9f21dab6e6f5173f2328f48cb5cf14061379d198a14afd6c7e3c1769b2', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:01:21: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd5f9f1e970e6381e35cae0d67eeadae955b796ea5d70caa553eb88d35bf9568d', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:01:22: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '75cbf9434c3819c23f8b2bc54dcbba6ee03d727c9ad08e8ed84bf55462b9059b', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-09-11 17:01:23: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'eceb409d898f7e526870971c7be363147095e67348a04c20d3372518b913b6bb', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
