Testing SD card write operations: 2022-07-07 16:03:57
2022-07-07 16:04:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '63060931d8eb94a5af4e2e99ef2ecd4aca5331613b236385baf196dcab60c60a', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:25: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5c8c10cdaadbfb7b439e635005e877b77db4874624adac80b3d50f9b8a1699ab', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5e955c1caaa9b4d4f47b72b1c240f1d09de0724cde4bff66aefcc78d67eabfdf', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:27: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '3c04aaa03f16640d5a6da4a9ac54a0d35e9478e98f6e0a002aac9e26c35c4a1f', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'c8d7cde25c78830c0293eb633f3b0e3e4f944bd22a210d52265ea42f16442f0e', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:29: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '3c04aaa03f16640d5a6da4a9ac54a0d35e9478e98f6e0a002aac9e26c35c4a1f', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:29: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6e9b02147e8bfeb9d12650d4d2421b26223581518636e34ab022090fcc5a2570', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:30: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '57bf852653be90fabfa8ac55388eead4a29f61c1cc2196048abede88ddee3043', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:31: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'eca9c889f9f23084fafdfb22be0bc67976e9d03d8a3380f0f5d512b933ad60b8', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-07 16:04:32: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b1d0cb098a58d2211a3d5e87019f7d7baa948cef808082bcba29610e99e15f32', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-07 16:04:33: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'c8d7cde25c78830c0293eb633f3b0e3e4f944bd22a210d52265ea42f16442f0e', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:33: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'b0ea5bf0387ae3a66b830e1382d1e323bd9d60bb87876b461bcb1a33bd3bf15b', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:34: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5c8c10cdaadbfb7b439e635005e877b77db4874624adac80b3d50f9b8a1699ab', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:35: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5edef026a5a04a768a68e3eb55f42442ad0f9013216c0eb83887aa4bbc12006e', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:36: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6d7974068429c0067e4e600072da62ce947cb5115dd1fc1bb980718db7a4f5d3', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 16:04:37: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6d7974068429c0067e4e600072da62ce947cb5115dd1fc1bb980718db7a4f5d3', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 16:04:37: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '8a94e387e6e2ba769fa35eb4c0845919e23ef2c4b2d7264576d462f0584312cd', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:38: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '3c04aaa03f16640d5a6da4a9ac54a0d35e9478e98f6e0a002aac9e26c35c4a1f', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 16:04:39: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'b0ea5bf0387ae3a66b830e1382d1e323bd9d60bb87876b461bcb1a33bd3bf15b', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
