Testing SD card write operations: 2022-05-25 18:26:53
2022-05-25 18:28:36: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-61}
2022-05-25 18:28:38: {'ssid':'iPhone', 'bssid':b'b\x9e:\xcbCy', 'sec':3, 'channel':6, 'rssi':-51}
2022-05-25 18:28:38: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-62}
2022-05-25 18:28:40: {'ssid':'iPhone', 'bssid':b'b\x9e:\xcbCy', 'sec':3, 'channel':6, 'rssi':-45}
2022-05-25 18:28:40: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-62}
2022-05-25 18:28:42: {'ssid':'iPhone', 'bssid':b'b\x9e:\xcbCy', 'sec':3, 'channel':6, 'rssi':-44}
2022-05-25 18:28:42: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-63}
2022-05-25 18:28:43: {'ssid':'iPhone', 'bssid':b'b\x9e:\xcbCy', 'sec':3, 'channel':6, 'rssi':-44}
2022-05-25 18:28:43: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-63}
2022-05-25 18:28:45: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-63}
2022-05-25 18:28:47: {'ssid':'iPhone', 'bssid':b'b\x9e:\xcbCy', 'sec':3, 'channel':6, 'rssi':-43}
2022-05-25 18:28:47: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-63}
2022-05-25 18:28:49: {'ssid':'iPhone', 'bssid':b'b\x9e:\xcbCy', 'sec':3, 'channel':6, 'rssi':-46}
2022-05-25 18:28:49: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-62}
2022-05-25 18:28:51: {'ssid':'iPhone', 'bssid':b'b\x9e:\xcbCy', 'sec':3, 'channel':6, 'rssi':-46}
2022-05-25 18:28:51: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-62}
2022-05-25 18:28:53: {'ssid':'iPhone', 'bssid':b'b\x9e:\xcbCy', 'sec':3, 'channel':6, 'rssi':-45}
2022-05-25 18:28:53: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-63}
2022-05-25 18:28:55: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-61}
2022-05-25 18:28:56: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-63}
