Testing SD card write operations: 2022-05-25 18:27:14
2022-05-25 18:27:52: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '4ccdb10f12d03d7bfccff5f5dc5deb5698f21b4949afb57ede798ea16938539c', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 18:27:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '542df9d9e92790d4d9bac46856341acbfee317889765af3edb1800bac5600f2e', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-25 18:27:54: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '87bdcfd2ef63c31ff34a2d3e059642144bce06f287095f08145c70ed3058c091', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 18:27:55: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '49520d5dd1265c361ccfd93a91287e376ea8180385b3a17b12da220db90948bc', 'rssi': -59, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 18:27:56: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '678dbece261664f93901815fa03767d73f3612c0441891c10e6df4010261849e', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 18:27:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b92de73e30f8995e41dc545e95c4b2bab4d2e8a18ff457dde8acf1d2083f64de', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-25 18:27:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6df7f59f40345009d4ff14a64eb5951b0e49a842afa62ba07bb302ad28ecbaca', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-05-25 18:27:58: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '27f98254037e20b8be5dd9f25e00298c3f71b94d0eaf020a3aba5a2916932842', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-25 18:27:59: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'd3cb14c9c1037dcd9931fd53384b61d95bf88f199cc960ee5db5868292842077', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 18:28:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0bbc7dc1f5eeb2f4dcce8665eea47bbf1e2aee6c30336e0f9aa09244c7f7cfea', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 26, 'adv_tx_pwr': 3}
2022-05-25 18:28:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '595e893eb2774f54bec98bd9fe57058d42eaeb2e1ec6ea4bb0c14f16e8fcdd9c', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-25 18:28:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '595e893eb2774f54bec98bd9fe57058d42eaeb2e1ec6ea4bb0c14f16e8fcdd9c', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-25 18:28:02: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'd3cb14c9c1037dcd9931fd53384b61d95bf88f199cc960ee5db5868292842077', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 18:28:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '87bdcfd2ef63c31ff34a2d3e059642144bce06f287095f08145c70ed3058c091', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 18:28:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'c415ed79efa7ea5c9dfa35002b572d05fd92d5060d365c7f0e0a87477f1d48ce', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-05-25 18:28:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '87bdcfd2ef63c31ff34a2d3e059642144bce06f287095f08145c70ed3058c091', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 18:28:05: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '4ccdb10f12d03d7bfccff5f5dc5deb5698f21b4949afb57ede798ea16938539c', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 18:28:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6df7f59f40345009d4ff14a64eb5951b0e49a842afa62ba07bb302ad28ecbaca', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-05-25 18:28:07: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'c9909890eedc97513c0423a5a42095b2ece843da9c7e267094b333e2c687f9ce', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 18:28:08: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'b525cee60288380776094379a03177817dd8526e0ecd6397a367b490f4d5ac6b', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 18:28:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '28f3919bf33cfac15c918a767ef7f54a0ec504e06fcc83b2f2a883ce131a0f29', 'rssi': -66, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-25 18:28:09: {'adv_flag': 24, 'def_tx_pwr': 3, 'mac': '16ae244dc3aa759b5a4bb648feab22799e1ff3fd8ce81f9d902f9a01e082b903', 'rssi': -78, 'name': 'Tb130', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': -14, 'adv_tx_pwr': 3}
2022-05-25 18:28:10: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '542df9d9e92790d4d9bac46856341acbfee317889765af3edb1800bac5600f2e', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-25 18:28:11: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd0c4cad18fb1710307138bdb288c373f4fa96daeac3a4e08c59867db209f579e', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-25 18:28:12: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '87bdcfd2ef63c31ff34a2d3e059642144bce06f287095f08145c70ed3058c091', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 18:28:12: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '49520d5dd1265c361ccfd93a91287e376ea8180385b3a17b12da220db90948bc', 'rssi': -59, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 18:28:13: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '2b998ecaa8a33cda8e420664f077a0abd64332e9092602440dbfcbf62c078d74', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 18:28:14: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'ab767f22d54136ef09b11f24067a30dbe09f274809100db03867c6e9b7699f84', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 18:28:15: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '49520d5dd1265c361ccfd93a91287e376ea8180385b3a17b12da220db90948bc', 'rssi': -60, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 18:28:15: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'ab767f22d54136ef09b11f24067a30dbe09f274809100db03867c6e9b7699f84', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 18:28:16: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9a9d3499cc3271ee9f31ae5134a3eb4a22e499853fd5a0709cb94aba959e981a', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 18:28:17: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'b525cee60288380776094379a03177817dd8526e0ecd6397a367b490f4d5ac6b', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 18:28:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b92de73e30f8995e41dc545e95c4b2bab4d2e8a18ff457dde8acf1d2083f64de', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-25 18:28:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'fe948544719644d706b6bcdf65f3a6b6c25dbf5b365e081dfdea6b143748e1a9', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 18:28:20: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'd3cb14c9c1037dcd9931fd53384b61d95bf88f199cc960ee5db5868292842077', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 18:28:20: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '4ccdb10f12d03d7bfccff5f5dc5deb5698f21b4949afb57ede798ea16938539c', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 18:28:21: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6df7f59f40345009d4ff14a64eb5951b0e49a842afa62ba07bb302ad28ecbaca', 'rssi': -59, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-05-25 18:28:22: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'c8effad70d8521cf1288c7342536967f7ef9b4f328427b5a26c737b6a67c9bff', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 6, 'adv_tx_pwr': 3}
2022-05-25 18:28:23: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'c8effad70d8521cf1288c7342536967f7ef9b4f328427b5a26c737b6a67c9bff', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 6, 'adv_tx_pwr': 3}
2022-05-25 18:28:24: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9a9d3499cc3271ee9f31ae5134a3eb4a22e499853fd5a0709cb94aba959e981a', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 18:28:24: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '2b998ecaa8a33cda8e420664f077a0abd64332e9092602440dbfcbf62c078d74', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 18:28:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '595e893eb2774f54bec98bd9fe57058d42eaeb2e1ec6ea4bb0c14f16e8fcdd9c', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-25 18:28:26: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e22fc4ac43fb52231ed926fe48881fcab52c67b6b08f8a651bc2e62fd69763fb', 'rssi': -54, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 18:28:27: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '2b998ecaa8a33cda8e420664f077a0abd64332e9092602440dbfcbf62c078d74', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 18:28:27: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '87bdcfd2ef63c31ff34a2d3e059642144bce06f287095f08145c70ed3058c091', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 18:28:28: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'c9909890eedc97513c0423a5a42095b2ece843da9c7e267094b333e2c687f9ce', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 18:28:29: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e22fc4ac43fb52231ed926fe48881fcab52c67b6b08f8a651bc2e62fd69763fb', 'rssi': -53, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 18:28:30: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '4ccdb10f12d03d7bfccff5f5dc5deb5698f21b4949afb57ede798ea16938539c', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 18:28:31: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'fe948544719644d706b6bcdf65f3a6b6c25dbf5b365e081dfdea6b143748e1a9', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 18:28:31: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '2b998ecaa8a33cda8e420664f077a0abd64332e9092602440dbfcbf62c078d74', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 18:28:32: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '4ccdb10f12d03d7bfccff5f5dc5deb5698f21b4949afb57ede798ea16938539c', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
