Testing SD card write operations: 2022-06-30 13:58:22
2022-06-30 13:59:14: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'6ed0dedbedb7', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-30 13:59:15: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': b'41532f2f3253', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:16: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'18bc7a18c9b7', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'18bc7a18c9b7', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7736015ad6d6', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-06-30 13:59:18: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1f0e9b0edb3c', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'18bc7a18c9b7', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:20: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'18bc7a18c9b7', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:21: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1f0e9b0edb3c', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:22: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'18bc7a18c9b7', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:22: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'18bc7a18c9b7', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:23: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1f0e9b0edb3c', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:24: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7337af759779', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-30 13:59:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'18bc7a18c9b7', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:26: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1f0e9b0edb3c', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-30 13:59:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'6ed0dedbedb7', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-30 13:59:27: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'18bc7a18c9b7', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
