Testing SD card write operations: 1970-01-01 02:00:06
2023-01-26 22:02:21: {'Acceleration': '(0.2786865, 0.8016357, 0.527832)', 'Roll': '-27.83331', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.32918'}
2023-01-26 22:02:22: {'Acceleration': '(0.2807617, 0.8050537, 0.5223389)', 'Roll': '-27.65248', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-53.77757'}
2023-01-26 22:02:22: {'Acceleration': '(0.2780762, 0.8041992, 0.5233154)', 'Roll': '-28.05718', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.64116'}
2023-01-26 22:02:23: {'Acceleration': '(0.2763672, 0.8018799, 0.5240479)', 'Roll': '-27.80582', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '-53.52176'}
2023-01-26 22:02:24: {'Acceleration': '(0.2800293, 0.8026123, 0.5241699)', 'Roll': '-28.11264', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.48249'}
2023-01-26 22:02:25: {'Acceleration': '(0.276123, 0.8024902, 0.5264893)', 'Roll': '-27.67525', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.46807'}
2023-01-26 22:02:26: {'Acceleration': '(0.2786865, 0.8037109, 0.5214844)', 'Roll': '-28.03925', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-53.57578'}
2023-01-26 22:02:27: {'Acceleration': '(0.2769775, 0.802002, 0.5245361)', 'Roll': '-27.83597', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.57335'}
2023-01-26 22:02:28: {'Acceleration': '(0.2762451, 0.8041992, 0.5203857)', 'Roll': '-27.96145', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.7732'}
2023-01-26 22:02:28: {'Acceleration': '(0.27771, 0.8050537, 0.5279541)', 'Roll': '-27.74489', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.46183'}
2023-01-26 22:02:29: {'Acceleration': '(0.2769775, 0.8027344, 0.5267334)', 'Roll': '-27.73719', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.44814'}
2023-01-26 22:02:30: {'Acceleration': '(0.2799072, 0.802002, 0.526001)', 'Roll': '-28.07388', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.63525'}
2023-01-26 22:02:31: {'Acceleration': '(0.2786865, 0.8028564, 0.5219727)', 'Roll': '-28.09821', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-53.28829'}
2023-01-26 22:02:32: {'Acceleration': '(0.2774658, 0.8017578, 0.5231934)', 'Roll': '-27.93841', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-53.62614'}
