Testing SD card write operations: 2023-01-26 21:58:17
2023-01-26 21:58:48: {'name': None, 'adv_flag': 26, 'rssi': -80, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '5ed6f9a59f33d4e1c71bbfc5e4106ddc818f0e5f1e9bbd5350f938637556c6ef', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 21:58:49: {'name': None, 'adv_flag': 26, 'rssi': -78, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '5ed6f9a59f33d4e1c71bbfc5e4106ddc818f0e5f1e9bbd5350f938637556c6ef', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 21:58:50: {'name': None, 'adv_flag': 26, 'rssi': -80, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': 'a4cf39e2b560204ee6166b6a22da36f3bf4cd01135fc524b678f93466732e223', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 21:58:50: {'name': None, 'adv_flag': 26, 'rssi': -80, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '041aea07b92eab1ba677715aee789ce7336496283e1ee8940b4f6dd5e094afa4', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 21:58:51: {'name': None, 'adv_flag': 26, 'rssi': -81, 'adv_tx_pwr': 0, 'tx_range': 6, 'def_tx_pwr': 0, 'mac': '86c772429019ddd88e56bb72bdbe3deebcd14cf819cc313bb099ec883609e73e', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 21:58:52: {'name': None, 'adv_flag': 26, 'rssi': -81, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '041aea07b92eab1ba677715aee789ce7336496283e1ee8940b4f6dd5e094afa4', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 21:58:53: {'name': None, 'adv_flag': 26, 'rssi': -72, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '5ed6f9a59f33d4e1c71bbfc5e4106ddc818f0e5f1e9bbd5350f938637556c6ef', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 21:58:54: {'name': None, 'adv_flag': 26, 'rssi': -73, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '5ed6f9a59f33d4e1c71bbfc5e4106ddc818f0e5f1e9bbd5350f938637556c6ef', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 21:58:54: {'name': None, 'adv_flag': 26, 'rssi': -75, 'adv_tx_pwr': 0, 'tx_range': 7, 'def_tx_pwr': 0, 'mac': 'a4cf39e2b560204ee6166b6a22da36f3bf4cd01135fc524b678f93466732e223', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 21:58:55: {'name': None, 'adv_flag': 26, 'rssi': -80, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '041aea07b92eab1ba677715aee789ce7336496283e1ee8940b4f6dd5e094afa4', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 21:58:56: {'name': None, 'adv_flag': 26, 'rssi': -91, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '156a37474bd59400294b64a7721de7d929ac9cb506b12012bf5b99f68e08b121', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 21:58:57: {'name': None, 'adv_flag': 26, 'rssi': -70, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '5ed6f9a59f33d4e1c71bbfc5e4106ddc818f0e5f1e9bbd5350f938637556c6ef', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 21:58:57: {'name': None, 'adv_flag': 26, 'rssi': -74, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '5ed6f9a59f33d4e1c71bbfc5e4106ddc818f0e5f1e9bbd5350f938637556c6ef', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 21:58:58: {'name': None, 'adv_flag': 26, 'rssi': -73, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '5ed6f9a59f33d4e1c71bbfc5e4106ddc818f0e5f1e9bbd5350f938637556c6ef', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 21:58:59: {'name': None, 'adv_flag': 26, 'rssi': -83, 'adv_tx_pwr': 0, 'tx_range': 12, 'def_tx_pwr': 0, 'mac': '041aea07b92eab1ba677715aee789ce7336496283e1ee8940b4f6dd5e094afa4', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
2023-01-26 21:59:00: {'name': None, 'adv_flag': 26, 'rssi': -72, 'adv_tx_pwr': 0, 'tx_range': None, 'def_tx_pwr': 0, 'mac': '5ed6f9a59f33d4e1c71bbfc5e4106ddc818f0e5f1e9bbd5350f938637556c6ef', 'scan_tx_pwr': 0, 'conn_tx_pwr': 0}
