Testing SD card write operations: 2022-07-07 18:58:22
2022-07-07 18:59:19: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '622825e175703c7795fe3c29ed78a6f9d1724faf606e6039aea76e9e058fa9e0', 'rssi': -95, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 18:59:20: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '94da4cc58555cd41a9b646fca16faf59813c9014e839deff963864889f8f118f', 'rssi': -57, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 18:59:21: {'adv_flag': 2, 'def_tx_pwr': 3, 'mac': '2c70b37827ddcf5838b9b85aa31bfa4b8741c18501af10391c7f44b8b21f2ffa', 'rssi': -88, 'name': 'Pb21', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 18:59:21: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '94da4cc58555cd41a9b646fca16faf59813c9014e839deff963864889f8f118f', 'rssi': -50, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 18:59:22: {'adv_flag': 2, 'def_tx_pwr': 3, 'mac': '2c70b37827ddcf5838b9b85aa31bfa4b8741c18501af10391c7f44b8b21f2ffa', 'rssi': -88, 'name': 'Pb21', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 18:59:23: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '94da4cc58555cd41a9b646fca16faf59813c9014e839deff963864889f8f118f', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 18:59:24: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '10ae8222cf06cd631af294721900e1302106b5f366dcf82f81e191e4bfb80a4d', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 18:59:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '94da4cc58555cd41a9b646fca16faf59813c9014e839deff963864889f8f118f', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 18:59:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '10ae8222cf06cd631af294721900e1302106b5f366dcf82f81e191e4bfb80a4d', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 18:59:26: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a80a0102b31eadfcc680b04bfd3c0e5ca4b82c68f57e912ee39abe81d9993df3', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 18:59:27: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6a5a825437b9cfaa722eaf3c917c6db0ad272624e8d9d89182d283379c058edd', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 18:59:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '10ae8222cf06cd631af294721900e1302106b5f366dcf82f81e191e4bfb80a4d', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 18:59:29: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'be827ec895b911d677adaab7f07130ce5a4d185e088e652f06c59927b47bddb0', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 18:59:30: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': 'd93e690334fd0fe17b051d91ed06db6cf153c4b037e6774585bd54d1e0a4385f', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
